Harshaw Research,"  Harshaw Research  107 W 2 Ndebele Street 
Ottawa, Kansas USA ",Harshaw Research,785 242 9500,,"
										 Bruce Orr Portland Attorney of Wyse Kadish LLP is unethical and has been know to discriminate.
 He violates client Attorney privileges by giving other Attorneys information for his own interest. Also, he has been know to discriminate against same sex partners, none white ext. 
 This is not appropriate at all. I am shocked at his actions. 									",Attorneys & Legal Services,0
Manuel Flores OceanKey Moises Israel Villar Robles Mayan Palace Rodrigo Hicks Acqua Flamingos,"  Manuel Flores OceanKey Moises Israel Villar Robles Mayan Palace Rodrigo Hicks Acqua Flamingos   
, internet USA ",,,,"
										 Bruce Orr Portland Attorney 
 Bruce H Orr is a partner at the firm Wyse & Kadish, and should not be trusted with sensitive information.
There have been serious allegations of conspiring with other attorneys for a price as well as sharing private, confidential client information in a manner which completely violates attorney-client privilege.
An investigation is ongoing and the results will be turned over to local media and the Oregon State Bar. In the meantime, if you value your privacy don't trust this attorney with your information! 
Bruce H Orr at the firm Wyse & Kedish is very likely to share that information with other attorneys, maybe even the attorney that you hired him to fight for you against. 
 Also, Bruce Orr has been know to shy way from cases because of the clients sexual preference, race and nationality and that has never sat well with me. 									",Attorneys & Legal Services,0
GIOVANNI PATTAY,"  GIOVANNI PATTAY  VIA CECCARDO ROCCATAGLIATA 1 
GENOVA, Other Italy ",,39010542373,,"
										 I am a mother who has recently found herself homeless with two kids, since my fiance had been picked up by immigration. My fiance has been detained and I was told to do my best to hire a lawyer. I contacted Musca Law in Orlando Florida and I was told to pay them 2000.00 and they will help me. I had to borrow the money in the hopes that they would be able to help in lowering my fiance's charges which will release him from the detention center. I could only pay 1500.00 and they said well, we will do research and see what we can do from there. 
I waited a week and he had no information for me, and began asking me redundant questions. Three weeks later no call again, so I called, after being given the run around and me having to remind him of my case he tells me ""oh, yea there's nothing we can do sorry when will he be deported?"" I was stunned by his response so I asked him did you contact the courts where is the research that was done. He said he threw it away. 
I told him I'm homeless with a infant and a teen, is there any money left from the 1500.00 he said no, we used it all. I asked for a copy of the research so that I can try and see what else can be done and he told me oh give me a few days I will call you back and have the info. I waited he never called I called again, and I said I don't know anywhere you can go and spend 1500 and have nothing to show for it. He laughed. The main lawyer I dealt with is Mark Menser. My family and especially my kids can use that money to get real help. I found out through other lawyers and legal aids that I can get help for him and what can be done. Now this lawyer obviously did no research and just took my money.									",Attorneys & Legal Services,0
michael potter,"  michael potter   
miami, Florida USA ",,,,"
										 I aproached Lola Swaby of The Swaby Law Firm LLC in 560 Main Street Suite 2E of Stroudsburg, PA 18360 to advice me on a discrimination lawsuit that I had in mind to persuit. She charged me 75.00 US dollars per visit. She said she would help me organize the documents legally and the correct way so I could go on to persue my lawsuit. This took a couple of years and now I need those documents and I can't even find Attorney at Law Lola Swaby. Many visits at 75.00 US dollars later I have search for The Swaby Law Firm of Lola Swaby and this is all I find that maybe useful. She also practice in the Bronx, NY according to her documentation of those days but I have tried everything and still can't find her nor my documents.									",Attorneys & Legal Services,0
Drumm law Mike drumm,"  Drumm law Mike drumm   
, Colorado USA ",,,,"
										 I was scammed by this office. Lied to me about my case inorder to continue collecting payments from me. The secretaries are not paralegals they claim to be to bring in potential clients. Office standards are very low this attorney only cares to make a quick buck at the expense of his clients. Prices seem to be reasonable but later cost will go up and the quality of work is poor. ",Attorneys & Legal Services,0
NEW YORK ATTORNEY LAW FIRM,"  NEW YORK ATTORNEY LAW FIRM   
Nationwide USA ",,212-845-9724,,"
										 Joe Gordon of Gordon and Company BARRISTERS,  SOLICITORS
Do not trust this quack as he is severly mentally dehydrated and a well known drug addict. He will do and say anything to make money because he has to feed his habits of addiction and gutter whore ways. He stinks and is a complete moron who is beyond stupid. He is a conniving thief and psycho. Stay away from this whack job. ",Attorneys & Legal Services,0
Expert evictions,"  Expert evictions  9431 Haven Ave #102,  
Rancho Cucamonga, California USA ",www.expertevictions.com,(866) 410-2727,,"
										 My name is Mason **** and I was formally employed by Calvin Barry the ""Liar"" as one of his Lawyers. His corporation is fueled by lies and corruption, which is passed on to his other lawyers. I have seen him on many cases, just take the clients money and run. 
 Calvin has a very bad drug habit, which is well known among The Law Society members and is not welcome in many circles of the law. His greed and negative behavior has impacted my life, which has lead to my downward spiral. I have been unfaithful to my wife and cheated on her with a lady by the name of Lucy Falbo, who was also employed by Calvin Barry. I also have  recently been charged with drinking and driving. 
 I have also seen and been instructed by Calvin to railroad certain customers, so he could steal his customers funds + destroy their families and lives. We must all band together to stop this evil man before he destroys any more lives or sexually assaults any other women.Please submit you information and story, if this man has done you wrong. Also contact The Law Society or the police with your report or statement.  Let's all band together to bring justice.									",Attorneys & Legal Services,0
James N. Riley,"  James N. Riley  400 W Main Street 
Clarksburg, West Virginia USA ",,,,"
										 Not impressed! Used to file chapter 7 which did get discharged, however some complications came about afterward. I have tried every week for six weeks & April Little will not return emails, texts, voice mails & never at the office, just disappeared! I referred her business & she took money from the client & would not return phone calls as well. My referral ended up showing up at April's house just to get a response. The gentlemen that referred me to April said that he recently referred someone to April Little & they had to file a formal complaint with the Minnesota State Bar because April Little is not responding to them. I would not recommend this attorney!									",Attorneys & Legal Services,0
Roy Lustig,"  Roy Lustig  1 SE 3rd Ave, Miami, FL 33131 
Miami, Florida USA ",,305) 371-4213,,"
										 Roni Lynn Deutch is the biggest scam program around to help you with your IRS problems. She ripped us off for $3900.00,  once she got the money and we filed financial reports after reports to her, which was sostressful, she made us feel that everything was going well.  Well, guess what, after about 10 months went by  we received a letter stating how sorry she was that the offer in compromise was declined by the IRS.My husband and I want justice plus our money back and then some for all the anxiety and stress that was caused by her illegal business.  We hope she goes to jail for a long time.Robert and Linda,  New Hampshire   ",Attorneys & Legal Services,0
AACS Legal group,"  AACS Legal group   
Internet USA ",Aacs.recovery.group@gmail.com,1-213-814-4047,,"
										 This company took my money and promised to sue my lender.  Five months later and out 7500.00 I still do not have a lawsuit!!  Ive been directed to a processor to speak to and thats as far as management as you go! I have requested to speak to the attorney and it seems that their isnt one!!  Please stay away and make sure that you speak to an attorney.  They will lie and you will lose your money!  You will get the run around!!									",Attorneys & Legal Services,0
