 411 locals  ,"  411 locals    
Internet USA ",accounts411@411local.com, 877-358-0761,,"
										 Companys like Gigmasters.com, Gigsalad,facebook, craigs list, that allow people to do what they want on their site are  promoting under ground economy. LIFE saving services are being cut because of under ground economy. Child protection services, foster care, child care centers. Kids are  not being protected because the states have no money.  Kids are not being removed from dangerous homes because of lack of money.  These directorys take no responsibility for the people on there sites.  So the next time you see a trademark character at a kids birthday party, or phony trademark jump house, remember this.It is time for us to protect those who can't protect themself.   These are my personal opinions.									",  Computer Marketing Companies ,0
 Local Splash ,"  Local Splash   
Internet USA ",, 8776356225,,"
										 I RECEIVED  BOOKS and flyers  for home bussines . you donot have to lift one fingure we do it all .they promise you make money in cellphone revolution and do not lift a fingure . they asked me $3000.nothing to worry then they my money without my concern 3 times from bank, i called many times they donot answer .i emailed so tmes to cancel  they dont reply . i left messages and messages.they take peoples money and beacme rich .  mr shannon morris  garnteed refund if they cannot  make money . its automailing you donot have do anything . later they told to pay $499.00 and $49.00 a month ,they lied to  me no explaination was given.there is no automatic bussines you pay eveything for web advertise do sales get people pay for go dady this was trick and game to take peoples money  this big lie . this is rippoff company .donot believe them .ripoff and became millioners with peoples money. after they  get the money  from you they disapear.									",  Computer Marketing Companies ,0
 DMEGS.COM ,"  DMEGS.COM   
Internet USA ",www.dmegs.com, Not listed,,"
										 life is not hard enough getting work without YP posting people up on line without business license and also people for 50 miles.  I called the city of Stockton on a new company that they feature called  Bumping Rita and she has no license for Stockton. There she is at the top of Google ad for YP. Picture and all. Then I saw that tons of people are up here from other citys.   According to their by laws they say the people must follow the laws, local , state jurisdiction. Well they are not. Most or 3/4 do not have a license to work in other citys. Some have no license at all. So you promoting SAC. people that are 50 miles away brakes the city laws. You need to promote only local people on your  internet site unless they have proved that they are licensed to work otherwise.  Stockton should have only stockton people, Sac only SAC . Manteca only manteca, etc.  You are braking your own by laws,by not following local laws. Also the city laws.  Google also does not follow the city laws posting people up to 500 miles. It is time for the citys to take back there own revenue, and stop the braking of laws. This is my personal opinion. Clean up up your work, you are promoting under ground economy in my opinion.									",  Computer Marketing Companies ,0
 production media co  ,"  production media co    
Nationwide USA ",www.roductionmediaco.com,  800-962-2587,,"
										 The doors open at 11:00 you wait in a long line to register, then you're told to go look on a lot of junk car's to find the car you want.After an hour of not finding the car that was advertise,you are told a group of men will come out to assist you that do not happen for an hour.The men then tell you it may be in their storage lot then you wait for 3 hour in between that time they continually tell you they're looking for it at this time it is becoming a trend.In the meantime after waiting all day I decide to place a bid on another vehicle,just tired of waiting and realized they really don't have the car after other are asking about cars they want. The autioneer,gave the price of $2700 for a car, a deposit of $700 was ask for up front while the auction continue for 2 more hours.Having to wait for the auction to finish they bring some of the same cars thru about 5 times .You wait again after the aution all the time behind a yellow line feets away from the car you bidding on in a unheated cold brick huge building.The next step you wait behind a rope to be call for your car another hour, you get in the back they tack on fee you was not told about and they asked for another $2700 and you explain you ask the owner with witnesses about the price you owe before you give the $700 they refuse to honor it and they keep the $700.All day wait to be beat out of your money in this economy!!!!!!!!!!!									",  Computer Marketing Companies ,0
 golocalmax.com ,"  golocalmax.com  7771 w oakland park 
sunrise, Florida USA ",www.golocalmax.com, 800-974-2959,,"
										 This company calls saying the name of other companie that i have a contrat tricking me to have a payment about a cancelation on the contract. Then when the other companie calls asking for their monthly paying i told them that i canceld their contract , thats when they told me they were not the people that calls for that . Then i call this oder companie because they send me an invoice andtold me a bunch of lies to confuse me. They told me that i had a contract with them and when i ask for the contract they refuse to send it to me . I am a very organise person and i dont have any contract of them in my archives. but i fall in theyre trap. Be carefull  people...									",  Computer Marketing Companies ,0
" Visionary Net Solutions Jevon Watson, Sunshine Watson, Corey Rievley SCAM ALERT MURRIETA ","  Visionary Net Solutions Jevon Watson, Sunshine Watson, Corey Rievley SCAM ALERT MURRIETA  24100 Chatenay Ln Murrieta 
Chatenay Ln Murrieta, California USA ",http://www.visionarynetsolutions.com/,  (951) 479-8515,,"
										 This company is up on craig list in new york saying that they hire clowns and other entertainers. Then they say they follow all the laws in new york.  My first thought is how can they subcontract out all these people. So I looked them up on the new york corp search and found that they became inactive dissolution as of 2009, so why do they still say they are a LLC when they are not. How do they subcontract out all these people and use them as employees. They say they are licensed and insured.  Does that mean all the people they send out are also.I am tired of false advertisment. These are my personal opinions.									",  Computer Marketing Companies ,0
 TLG Shopper ,"  TLG Shopper   
Internet USA ",www.shoppersadvantage.com, 1-800-562-8888,,"
										$9.00 charge appeared on my credit card that looked like this: ""WLI RESERVATIONREWARDS - 800-732-7031 CT $9.00""
When I called my credit card company, they said ""for that particular vendor,"" I would need to resolve any dispute with the company first. They also told me to get a cancellation number. It seemed as if they were very familiar with this situation and had advised many people before. 
To their credit, my hold time was less than a minute and the customer service rep was courteous. But I had to fight down the line to get what I wanted. 
For example, when I told her that I wanted a refund, she first tried to direct me to their web site so I could see all their wonderful member benefits and make sure I really wanted to cancel. I said I still wanted to cancel. She said she would cancel and there would be no further billings. I said I wanted a full refund. She said she would refund the past four months. No, I said, I wanted all of the charges refunded because I never signed up for this service and have never used it. She finally agreed to refund the full amount. 
I'm going to watch my credit card billing like a hawk and will be back on the phone with them if the full amount isn't refunded in 30 days. 
When I asked how I might have been signed up for this, she asked me if I had ever bought movie tickets on line. I said I had twice about a year ago. She said that I must have bought tickets through www.movietickets.com in order to sign up for their service. 
I have to say I am VERY careful when making on-line purchases. I read EVERYTHING. I buy things online all the time and have never had anything like this happen.
Steve
Naperville, IllinoisU.S.A.									",  Computer Marketing Companies ,0
 Trilegiant Great Fun ,"  Trilegiant Great Fun   
Internet USA ",http://www.greatfunonline.com/, 800-290-8603 ,,"
										8/7/2007
a charge appeared on my debit account on the 7th for $59.95.
from a company called eidelweiss card pt Donvale NE and Online Supplier.com.
I called my bank to have it removed, they could not until it had been posted for 3 days. When that time was over my bank screwed up & allowed these scumbags to re-post the same amount for another 3 business days. 
So, now I get to close my checking account change banks because they ""can't do anything while its in pending status"" so skip them too. 
this company has many addresses to hide that they are defrauding people from their money. 60 bucks doesn't sound like alot but online if they get 5000 people to do that which is relatively easy it can add up pretty dam fast.
so watch whats free online because these scumbags are able to steal money from your account.
Paul689
atlanta, GeorgiaU.S.A.									",  Computer Marketing Companies ,0
 Budget Savers ,"  Budget Savers   
Internet USA ",http://www.budgetsaversonline.com/, 800-916-1813,,"
										9/07I FEEL LIKE I HAVE BEEN RIP OFF AT WORLD MARKET SYSTEM. THEY DONT HAVE A WEBSITE ADDRESS. IT IS NOT EVEN IN ENGINE SEARCH.
I FEEL LIKE I HAVE BEEN RIP OFF BY THE WORLD MARKET SYSTEM. THEY DO NOT HAVE AN EMAIL ADDRESS, SO YOU CANNOT CONTACT THE COMPANY. THEIR WEB SIT IS NOT EVEN IN THE SEARCH ENGINE. THE PHONE NUMBERS THEY GAVE ME ARE 1-888-230-7556,1-888-231-8526. I WILL GIVE YOU MY BANK STATEMENT ONCE WACHOVIA (MY BANK )IS OPEN. IT IS DOWN RIGHT NOW BECAUSE OF DAYLIGHT SAYING TIME. THIS IS WHAT MY WEB-SITE LOOKS LIKE.
Hello, Christine Monroe
Your Sites
http://zsazsashoppingcenter.com/ 
http://zsazsashoppingcenter.com/cashflow 
http://zsazsashoppingcenter.com/auctions 
http://zsazsashoppingcenter.com/sony 
http://zsazsashoppingcenter.com/ezshop 
http://zsazsashoppingcenter.com/alldvds 
http://zsazsashoppingcenter.com/rest
Your Purchases
Sales Date Product Amount 
03-09-2007 Co-Op Advertising 5 Shares 0.00 
03-09-2007 Accelerated Platinum 0.00 
03-09-2007 Upgrade to Platinum Package 0.00 
03-09-2007 Web Site - Travelocity
Search Engine Blast - 1000 0.00
0.00 
03-09-2007 Web Site - DVD Avenue
Search Engine Blast - 1000 0.00
0.00 
03-09-2007 Web Site - Amazon
Search Engine Blast - 1000 0.00
0.00 
03-09-2007 email Blast Qty 100,000 965.00 
03-09-2007 Custom WS Audio 0.00 
03-09-2007 Advertising Package 0.00 
03-07-2007 Web Site - Sony
Search Engine Blast - 1000 0.00
0.00 
03-07-2007 Web Site - Referral
TrafficGuaranteed - 30,000/18months
Search Engine Blast - 1000 0.00
965.00
0.00 
03-07-2007 Web Site - Ebay
Search Engine Blast - 1000 0.00
0.00 
03-07-2007 MAIN WEBSITE
SelecTrak Tracking Tool
Search Engine Blast - 1000 0.00
0.00
965.00 
03-07-2007 Gold Referral Program 238.00 
03-07-2007 Setup Package 0.00 
 Profile
Shipping Address
904 N Rudolph
Goldsboro, NC, 27530
US
Billing Address
904 N Rudolph
Goldsboro, NC, 27530
Contact Phone
(919) 736-8787
Email Address
nlwu@aol.com
Christine Monroe
GOLDSBORO, North CarolinaU.S.A.									",  Computer Marketing Companies ,0
 Demandforce ,"  Demandforce  22 4th Street, 12th Floor 
San Francisco, California USA ",http://www.demandforce.com/, 1-800-220-1136,,"
										A Melody Watson called an employee of mine, that was new and was in training, and lied regarding a listing with Monarch Media 411. Melody informed her this was a renewal for the company, that was originally ordered by myself. She also informed her if we didn't want the service to write ""cancel"" on the invoice and mail it back. Which My employee did. Our company records all calls to avoid scams like this. 
There were 2 calls placed that day, one from Melody Watson, who lied about this being a renewal, who lied about me doing this in the past, and lied about it being cancelled. The second call was from someone named ""Lorne"" in quality control, My employee asked again if this was a renewal, and if it could be cancelled. She wrote cancel on the invoice and mailed it back. 
Then she received a call from Amy Micheal's, who informed her there are no cancellation policies, and told her it can't be cancelled. I called back that day after hearing our recorded calls from the sales call. They only had the second call, but the parts where she asked about cancelling and if it was a renewal were missing from the call. This company not only lies to get you to accept, but cuts their recorded calls. 
I called Mrs. Micheal's and informed her we had the original calls and were reporting she to the California Attorney General and the Better Business Bureau, she cancelled the order immediately. Don't be scamed by this company, they are the worst scam we have encountered.
Evelyn
Moor Park, CaliforniaU.S.A.									",  Computer Marketing Companies ,0
