 Smiles on Broadway ,"  Smiles on Broadway  116 Broadway 
Malverne, Select State/Province USA ",http://www.smilesonbroadway.com, 516) 599-0883 ,""," To anyone thinking to get cosmetic dental work done, specifically veneers, please do yourself a favor and stay away from Dr. Steven Katz of Smiles on Broadway, Malverne, NY.    I went to him thinking that I will receive a beautiful smile, instead, I received work that is substandard. Veneers that look bulky, fake and uncomfortable. He is a very smooth talker, he is a motivational speaker, that's what he does in addition to his dental practice but he certainly is the worst cosmetic dentist.    I am finding myself smiling less in order to cover the teeth as they look very fake and esthetically it is not the outcome that I wanted. He made a bridge which is very bulky, uncomfortable, and it certainly looks fake. The veneers are misaligned, one bulkier than the other and the gum between the two front veneers is not growing back and this is due to an error by him for not placing the contact in the right place. If I smile and in pictures, it looks as if there is a cavity in the front. After a few months of getting the veneers, I am still having difficulties pronouncing the f sounds. I went to him with the complaints, and he told me that it is all in my head, that he has presented the case to a few dentists and they think the work he performed was beautiful and he failed to do anything to improve my smile or do anything to make the veneers more comfortable. For the f sounds, he stated that it is all in my head.    He never took any pictures from different angles of the original teeth, mouth, face, which is what a truly qualified Cosmetic Dentist does. And the temporaries that he made, not only looked bulky and uncomfortable, but he placed three different colors, because he did not have the right colors in his office lab. He never informed that he could not match the color of the rest of my teeth and I was forced to stay with these temporary, multi colored teeth for three weeks. That should have been a red flag to me.    I informed him that I will go for a second opinion because I cannot live with these veneers, they are comfortable and very fake. My family and friends have all told me that they look like dentures.   He pointed me to go to a dentist that he is close friends with, which I said no.    I went to a consultation for a second opinion with a an accredited member of the American Academy of Cosmetic Dentistry, which requires extensive experience, examinations and presentations of five cosmetic cases to the board in order to be certified, as opposed to a general member, where you only pay fees to participate.This dentist has excellent credentials in Cosmetic dentistry. From his visit with him, I gathered that he has seen worst cosmetic cases than mine, but he has seen a lot better and esthetically, my case is a failure and the work is substandard. Substandard work, esthetically and functionally, is a constant reminder every time I attempt to smile and talk and is something that I am not willing to live with when it affects my emotional well-being and my professional career.    I went to him presenting myself as someone who is looking to get a natural beautiful smile. I stressed many times that I do not want my smile to look fake and he promised to deliver a natural, beautiful smile. However, the opposite holds true. I am extremely unhappy and once I save the money needed to go to another dentist who is qualifed, I will undergo the necessary cosmetic work required to receive a truly natural, beautiful smile that is above substandard and that would make me happy to smile again.   Dr. Katz, not only did not offer to redo the work (which I will never trust him again to do) but he refused to pay back anything. I paid over $8,000 to him to get myself an ugly, fake, denture-like smile. As a matter of fact, he called the dentist that I went to (who agreed to take my case and redo the work and gave me an estimate, an appointment to get x-rays, pictures and also see a periodontist) and complained about me. When Dr. Katz called me, he stated that he had called the dentist and he will not do any work on me. When I confronted him to get on a three-way conference call with the dentist, he refused. That is the type of Dentist Dr. Katz is, a mediocre, a liar and unqualified to live up to his promises.    If you never want to smile again, than Dr. Katz is the best for you. If you want to have a beautiful smile, please, please stay away from him and find another qualified dentist.  ",  Dental Services 
 First Class Whitening ,"  First Class Whitening  7565 commercial way , unit E 
Henderson, Nevada USA ",www.firstclasswhitening.com, 877-530-6947,""," I was misled by First class whitrning to believe i was getting a trial size package of their product for investing a copius amount of time filling out numerous survey questionaires....they didnt disclose the true price or costs of the product until three days after the product was purchased... I not only cant open the box , I will possibly lose my money which is already gone from my account... I find their with-holding vitsl information to be a disgrace. ",  Dental Services 
 Dr. Earl  Gaball ,"  Dr. Earl  Gaball  250 North Avenue 
Battle Creek, Michigan USA ",www.drgaball.com, 269.962.1674 ,""," To Whom it May Concern: I had a horrible experience involving the sedation dentist Dr. Earl Gaball.  I am awfully afraid of dentists and when i found out i would need all my top teeth extracted I began looking for a dentist near me to do the work.   Dr. Gaball has a  nice clean office not far from my home so I decided to go to him to get my top teeth extracted.   He was very nice and personable and his staff was helpful at first.  I got scheduled to have the teeth removed and was given medication to take before I came in the day of the procedure.  I sat in the chair and went to sleep.  I woke to blinding pain as a needle went through the roof of my mouth.  He sewed through the top of my mouth twice more and I passed out from the pain.  I went home with a mouth full of false teeth and swollen gums.  As time passed the swelling went down and the pain was almost gone.  I had shards of bone that worked their way out of the gums for a few months but one that was increasingly persistent in causing me discomfort.  I reported this pain every month and was told the piece of bone had to work its way out.  I decided to go to another place and get a second opinion.  When I called Dr. Gaballs office after going to another place they acted like I was no longer a priority at all.  I needed these dentures realigned and was told it would cost $600.  When I mentioned the piece of ""bone"" errupting from my gums and asked what the Dentist was going to do about it I was informed that I had to get dentures paid  for and begin to have them made before the Doctor would do anything about the problem i was having. At long last (almost a year)  I ended up at the local Family Health Center since I was now out of money to pay for dental services.  They removed the TOOTH that was errupting through my gum.  This tooth although shaved down to 1/3 of its size still had a nerve attatched!! Imagine my surprise when my neighbor and I were talking and it was discovered that she had been through the very same thing with the same dentist!!  I went through quite a bit of unnecessary pain thanks to this Dr. Gaball and his practice of leaving something in my gums in order to assure I would come there to get my dentures made.  Because my neighbor had the same thing happen it worries me that many folks will be sucked into his money making machine and endure more sufferering than they need to endure.  ",  Dental Services 
 Banta David M DDS ,"  Banta David M DDS  6140 Sherry Ln 
Dallas, , Texas USA ","", (214) 828-3100,""," This surgeon, David Banta, did a procedure on my left jaw, even though I was swollen, and infected. I questioned him, as to weather we should wait.  He said, he was off on Friday, and it was now, or 3 weeks later. So I agreed, and he went forward, and while he cut into my gum, puss poured out into my mouth, nearly choking me. My jaw was highly infected, and this Brute, ignored the signs. I have been in great pain for 2 months, and he wont see me anymore. I went by to ask for help, and I insisted to one of his girls in the office, I had to speak to him, she drug him into the front area, and he was so angry when he saw her, he grabed her by the back of the head, and forced her face into a pad he was holding, and screamed, I TOLD YOU NOT TO ACCEPT THIS PERSONs PERSONAGE. hE HAS ABANDONED ME, and I am seeking legal help, but I am sick, have not been able to work, I dont know hat i am going to do. ",  Dental Services 
" Debra Hurtt, DDS ","  Debra Hurtt, DDS  1128 S. High St. 
Columbus, Ohio USA ","", 614 444-6171,"","  Have seen the same dentist for 19 years, wow wish I had known what a ""real"" dentist should be doing. I trusted that my mouth was in her best interest, and that if something needed to be done, such as routine of standard of care that she would take care of it. Switched dentists due to another family member leaving her practice and going to another dentist to find out what a truly mess her mouth was in. No periodontal probing in 19 years. Now I have periodontal disease with bone loss. It is going to be very expesive and time consuming(I will have to miss alot of work) to save my teeth.Now I am worried about by husbands mouth, as he has been seeing the same dentist for the same amount of time. She has no modern equipment,and has had the same minimal eqipment since I have been going there. I don't know how many times I've heard we have to go in this room, because the same X-ray machine has been broken for years.  ",  Dental Services 
 South Texas Dental Pleasant Grove ,"  South Texas Dental Pleasant Grove  2725 S. Buckner  
Dallas, Texas USA ","", 972-552-5025,""," My wife has visited the same clinic for years and upon last visit was charged a over payment .  She was told it would be credited to her debit card within 1 day ( as is usual practice in the market place ).  It was not credited .  After a week, I ( her husband ) with my wife on speaker phone, confronted the staff  at this location.  They said they credited it to her other card ( South Texas Dental Card ???? )  and they would hold the money until her next visit.  The exact words were  "" we will hold the money until you need it "".  Naturally, my wife being 70 years old and not the most well spoken in the English language , I took a agressive stance in the matter.  I was told I  c ould not speak for her and she would have to come to the location to have her refund processed.  They would not have refunded the monies , had I not taken a firm retort with them.  My wife wanted me to wait in ther car with the dog, having just come from the vet, I did as she asked.   They told her I was no longer welcomed in their offices. They said I have caused problems in the office before, I had no previous communications with anyone in their offices.    Long story short, they have lost a good customer and have suggested a question in their company integrity and a far greater loss for their inept skills in customer service. Finally, received reimbursement in full. Lotta hard work in volved, like pulling teeth.   Thanks   ",  Dental Services 
 Dr. Sumeet Srivastava ,"  Dr. Sumeet Srivastava  12791 Newport Ave 
Tustin, California USA ",http://www.yelp.com/biz/socal-smiles-dentistry-tustin, (714) 730-7777,""," Dr. Sumeet Srivastava will scam you out of every cent if you aren't careful. They actively engage is fraudulent billing practices, rip people off and take advantage of patients. They will not honor your insurance copays and will charge you 3x-5x normal rates. Before paying a dime, check online for the real and accurate prices for the services you are getting. You are guaranteed to find the same procedures for 1/2 his price. A young 'doctor' with an inflated ego and only one thing on his mind...YOUR MONEY. He will not touch your teeth unless he has at least a thousand dollars of your money in his pocket. This con artist does the classic bait and switch con. You will go there to address something small, he will tell you that you need xyz and go on about how urgent it is that you also get this procedure and that treatment. He will talk...a lot. Compliment you. Tell you how amazing and patient and nice you are. Anyone with an ounce of intelligence can see through this act. Lying and ripping people off (with a big smile) is this guys specialty. He will probably also tell you that he doesn't care about money/money is the last thing on his mind/money means nothing to him...over and over again. MONEY...YOUR MONEY...IS THE ONLY THING ON HIS MIND. Apparently they don't teach ethics or morality in dental school.Don't walk...RUN to another dentist! This guy is a disgrace to any honest, real medical professionals and should be fully investigated. ",  Dental Services 
" Dr. David M. McCarty, DMD ","  Dr. David M. McCarty, DMD  13710 Struthers Road, Suite 200 
Colorado springs, Colorado USA ","", 719.344.8190,""," We had called Dr. David M. McCarty office for a root canal and they gave us a treatment plan. When I asked what the price would be they told me $608.00 total out of pocket. When I asked again just to be sure, they ""said"" that they had confirmed with our insurance company. The total without insurance was $685.00; they said my insurance approved the $77.00 payment as stated in my proposed treatment plan. They lied, they never confirmed with my insurance company regarding the Limited Oral Evaluation charge. David M McCarty Endodontics office in Colorado Springs totally falsified this insurance “approved” payment as they knew they will be billing me a little ways down the road. What a crook this dentist David M. McCarty turned out to be!!! We are not upset about the fact that Dentist David McCarty wants more money; we are upset by the way the office handled our case. The practice of bringing us in and quoting a lower price for a procedure then once the treatment was finished they came back saying they needed more money, this is not only bad business, it is deceptive and surely illegal. We will be filling a lawsuit against David M. McCarty Endodontics in Colorado Springs, Colorado. Do yourself a favor and find a dentist that values integrity and honesty. This was the worst experience I have had with a dentist (Dentist David M. McCarty Endodontics). He was not personable, and was very fast and a subpar dentist. To this day, the teeth that he worked on, are still achy and are very sensitive to hot and cold. ",  Dental Services 
 Manuel Figueroa  ,"  Manuel Figueroa    
, California USA ",www.giuseppe-viola.com, 3126022550,""," Manuel Figueroa is the wrong choice!   They won’t answer our calls or remedy the issue. He skirts on the legal border of what is ethical as a helath care provider and is a scam artist. He stated that I had a lot of dentistry to be completed. I was with this office for several years. He was suspended by the dental board in California  in 2006 thats why he ask me to pay in cash, when i ask why ??? he answer because i dont want to pay taxes, when i refuse, he stop the treatement and i start receiveing threats from Giuseppe Viola and Valentino Viola a drug trafficker that use to live in Puerto Vallarta and now he is living somewhere in the Chicago hiding from the FBI and Valentino Viola is still a drug dealer in Puerto Vallarta.   I had to pay again for my treatment and still have the scam of Giuseppe and Valentino behind me, in Puerto Vallarta they have a drug store in Pipila 160, Colonia Centro, C.P. 48300 hidden by a jewlery store managed by Alma Patricia Chapa Treviño.   ",  Dental Services 
 Blizzard White ,"  Blizzard White   
Internet USA ",www.blizzardwhite.com, 18885658521,""," I ordered the free trial that was for 14days. I was charged $94.34 because I didn't cancel after 8 days. I was told over the phone that the cancellation info would be included with the product, it wasn't.  I was offered a 30% refund after Ithreatened to file a complaint with the BBB. Do not order from this company, they have shady business practices and they are flat out liars. ",  Dental Services 
