 American Family Newberg ,"  American Family Newberg  2855 Hayes St Ste 102 
Newberg, Oregon U.S.A. ",, 7659622006,"American Family Newberg Rip off!  High cost, crap service, over billing? Newberg Oregon","
										According to my records my family and I have over paid Am Fam this last year by 2 payments, however every month I get a passed due notice.  I believe this company has been ripping my family off for years.  Unfortunately it's too hard to switch companies. Ann is rude and is NEVER helpful.  The 20 peices of junk mail from them every month is enough to make you freak out!
Mommyof2
somewhere, OregonU.S.A.									",  Insurance Agencies ,1
 Farmers Insurance ,"  Farmers Insurance  2 Wells Ave Newton, Ma 
Los Angeles, California U.S.A. ",, 770-226-8560,Farmers Insurance Charged me insurance after I cancelled Los Angeles california,"
										I had cancelled my insurance, and still got billed which in turn ended up in collections with ccs. There are so many with this problem, how can we unite and get all our money back....this is fraud.
Cresse r.
whittier, CaliforniaU.S.A.									",  Insurance Agencies ,1
 Affinity Health Assoc - Association Healthcare Benefits - NBHA -  MEDPLAN ,"  Affinity Health Assoc - Association Healthcare Benefits - NBHA -  MEDPLAN  141 Ganttown Road, Suite D 
Turnersville, New Jersey U.S.A. ",, 770-355-9373,"Affinity Health Association - National Benefits Healthcare Assistance - NBHA - MEDPLAN - National Alliance for Associations - Association Healthcare - American REsource Management Association USMEDPLAN - Consumer Alliance USA  -  CAUSA unpaid claims, unsoclicited faxes for cheap health Ins refuses to give out address Turnersville New Jersey","
										In March of 08, I received unsolicted faxes from Affinity Health Assoc, and untitled faxes advertising cheap health insurance.  The number for the unnamed fax  was 1-877-272-4802....When I contacted this company they said they offered low cost health insurance plan that included an array of medical services, including hx and dr. visits. They faxed me an enrollmen form from Affinity Health Insurance.  I enrolled for an individual policy for 188.00/ plus the association fee of 125.00.  I then received a call from Colorado Bankes Insurance to enroll in term life/major medical...I completed this form as well.  They assured me I would received my packedt in the mail...it was several weeks later than I received a packedt in a booklet labled USMEDPLAN Assoc. Benefits...When I tried to fill a claim for a Dr. Visit in June, My Dr. office was unable to fax their info to them...I was then contacted a person by the name of Charles Dennis of MJK consultants regarding filing the claim with Doctors Advocacy Program.  I was sent claim form preprinted with NBHA as the Grp or Assoc. Name...I recently tried to file a claim of ems and emergency room services.....When I called to get an address, the individual said she did not have the address for the insurance company and referred me to the claims office at 1-800-376-8883, who I called and requested a claim form to be sent to the hospital and myself...I never received it....Now, I'm stuck with a $3,0000 emergency room bill, and a 900.00 ems bill and the hospital cannot reach these guys....So, I got sucked into this also and would like to know how I can either get these people to pay for the claims or get my money refunded.....when I called the customer service # on my card, they answered the phone as ""Claims and Benefits Management""....I reported the problem, but they were unable or unwilling to give me an address or company name....They said I should be getting a new packet....I reported that they had also EFT'd an unauthroized amount out of my bank account in the sum of $196.00, vs the 155.00 the used to extract...I was immediately given a fax number to cancel the policy and request a refund, but she refused to give out the name of a company the fax number belonged to...that number is 909-287-0768.....I am faxing them today to cancel the policy and emailed my bank to stop the EFT from these guys.....Has anyone filed a suit against this fraudulent association for damages?  If so, please respond to this report..
Sally
Tallahassee, FloridaU.S.A.									",  Insurance Agencies ,1
 Javelinmarketing.com ,"  Javelinmarketing.com  1647 Willow Pass Road #164| 
Concord, California U.S.A. ",, 770-662-2222,Javelin - Javelinmarketing.com Another misleading lead company for annuity market Concord California,"
										They charged me over $900 for leads that were not interested in financial planning/annuities or investments. I tried several times to get a refund and was told no.
I made three calls to correct the charges and cancel the service. They kept charging my cc until I got my cc company to stop them. I was extremely unhappy and feel they were very misleading as to the prospects interest. I found many of them to be flat out bogus.
Buyer/agents and planners be aware of this group also goes by the name of senior leads.
Johnb
Austin, TexasU.S.A.									",  Insurance Agencies ,1
 Fox Morgan Insurance Agency ,"  Fox Morgan Insurance Agency  7200 NW 19th St. #200 
Miami, Florida U.S.A. ",, 770-781-0561,"Fox Morgan Insurance Agency - Northern Capital Insurance They have unlicensed agents selling insurance, the manager is unlicensed, they are sexists and racists. Miami Florida","
										Fox Morgan Insurance Agency is owned by Northern Capital Insurance Company, but they refuse to disclose that because Fox Morgan is about to be shut down because of all the unlicensed agents that they have working at the office.  The manager is also unlicensed and a lesbian that fired all the men working there so she can have her pick of the litter.  Once the state shuts down Fox Morgan for having all of their agents selling while being unlicensed and the branch manager unlicensed then Northern Capital Insurance (a homeowner's insurance company) will be fined out the wazzuu for not disclosing that they own Fox Morgan Agency and have allowed numerous transactions to be conducted by unlicensed agents.   Can you believe an INSURANCE COMPANY NOT AGENCY BUT COMPANY is allowing it's agents to sell while unlicensed and have a manager that is not only racist and sexist but unlicensed as well.  All of the quality licensed agents have departed Fox Morgan prior to the state investigation,  but the unlicensed skanks that Isabell likes to lick remain.
Ralphy
Hialeah, FloridaU.S.A.									",  Insurance Agencies ,1
 Annuity Agents ,"  Annuity Agents  370 S. Lowe Ave Suite A215 
Cooksville, Tennessee U.S.A. ",, 770-968-5757,"Annuity Agents Total deception from lead qualification to website to lie to seniors when setting so called appointment. Absolutely the most unprofessional scamming lead generation firm still business. AHd 25 leads and NOT 1 was ligit. When arriving at appointment prospects literally yelled at me for coming. 100% con job from AAI-David, Zack, Janet Cooksville TN","
										This is by far the diceptive lead compant I have ever been associated with. Website testimonials are fake, lead qualification is totally untrue. When going on appointment people had no idea I was coming or why. AAI lied to people on why we were coming. They actually mande leads actually 200 miles from my office and the poeple were not their. I had people they sent apointments with actually call and file complaints because they were lied to. 80% of them has agreed to submit written comfirmation they were ""fast talked"".  When trying to express my dissatisfaction they blamed me for being negative.   I have turned them into the department of Financial services in Florida and Ohio Department of Insurance.
Bob l
Parrish, FloridaU.S.A.									",  Insurance Agencies ,1
" Annuity Agents, Inc.- David Morgan, Janet, Zack ","  Annuity Agents, Inc.- David Morgan, Janet, Zack  370 S. Lowe Ave Suite A215 
Cookeville, Tennessee U.S.A. ",, 7704991114,"Annuity Agents, Inc. - David Morgan, Janet, Zack Pre-set appointments: People have no idea who you are and why you are there. Cookeville Tennessee","
										David Morgan is very helpful when setting you up for the initial payment and getting the ""contract"" taken care of to start the appointments.  After that, as stated in other Rip-Off Reports, he blames you for being negative when you ask why people are not home or wondering why you are at their doorstep.
In regards to how the appointments are set, I have a few theories that are concurrent with other Rip-Off Reports:
1) People are ""fast-talked"" and just say OK to get them off the phone.
2) Old folks are confused when the caller says ""Someone will drop by to have you sign something.""
3) They simply call from any old list bought from a poor quality list broker.
I apologized to one prospect and asked her what exactly the person said to her on the phone.  She said they called andstated that they worked for a number of different investment companies and that someone would be by to have her sign a paper, to which she did not agree.  Nevetheless, I received an appointment in my e-mail box:
""Your appointment has been scheduled for 5:30PM. We identified the asset as an IRA. He would like to see what new options are available toward his investment that could be beneficial to him.""
She mentioned that all assets were with another firm and they needed no review whatsoever. I have over 15 similar comment logs and all appointment ""confirmations"" saved for evidence and record-keeping, if anyone wants specific and consistent results of my wasted time and gas. So far, there has been 1 appointment that I accepted as ""good"" because the guy (very confused) allowed me to come in and go over his investments just to be nice I believe.
As with other reports, they never offer a full refund, only more bad appointments because that is what the ""contract"" says.  How long can that go on? I cannot even get a phone call back from Janet (a real specimen), Zack, or David Morgan.  I have also literally been hung up on by David Morgan, when they promise the best service possible on their web page.
If there is a group of agents that would like to go to their Cookeville office to take a ""tour"" of their office, I would be glad to discuss that.
There are quite a few reports surfacing lately and, against what David Morgan will say, they have not tried to be helpful or give me the time of day for a real refund.
Producer
Multiple Cities, VirginiaU.S.A.									",  Insurance Agencies ,1
 Mike Mullen -  Allstate Insurance Agent ,"  Mike Mullen -  Allstate Insurance Agent  Lakeside Office Park Suite 305 
Southhampton, Pennsylvania U.S.A. ",, 772-546-2299,Mike Mullen - Allstate Insurance Agent You might be in good hands with Allstate but not Mike Mullen! Southhampton Pennsylvania,"
										August 27, 2008 I contacted an insurance agent by the name of Mike Mullen in regards to having a few vehicles insured. I started off by having just one vehicle insured to see how he operated, well everything seemed to be going ok so I had Mike insure me with business, workers comp, and cargo insurance as well. I initially recieved a quote for $2800.00 dollars. That was fine. 
September I bought 4 for more vehicles for my business and decieded to have these insured also but with less limits than the bigger truck I own because I do different work these vehicles that dont require as much insurance. Mike's office insured me without a problem except they forgot to mention that I would have to drop an additional 20% down payment on the total premium combined for all these vehiclesthe following. Nor did he mention that all my vehicles would carry the same coverage. 
Now I have dealt with other insurance companies in the past where you could add the vehicles with the only result being that you pay whatever difference in your monthly payments. Long and behold this was not the intentions of Mike Mullen! Back to the beginning, The $2800.00 was to be paid on September 28th, 2008 in which it was. The following week Mike decieded to automatically withdrawl $2000.00 from my checking account without my consent nor ever recieving a bill for the new vehicles I added, when I caught it I called Mike and he said that it was a done deal, I couldn't get my money back. I did though only by calling Allstate cooprate in regards to his behavior.
October 28th I get a bill from Mike Mullen for the amount of $6800.00 for the vehicles I added. I was outraged!! After recieving the bill I contacted Mike and that's when he decieded to inform me of his method of doing business, which was new to me after dealing with Progressive which I regret leaving!
Now for all this insurance you would think I would have all the coverage in the world. Wrong!!!!!!!
October 24th 2008 Mike ammended my policy by adding Non Owned Autio coverage to my policy without my knowledge which was another charge of $128.00 per vehicle. During the week of October 26th 2008, I placed one of my vehicles in the shop for repairs. Just my luck the shop went up in flames but to add insult to injury I find out that the shop never had a lick of insurance and Allstate denied my claim of loss. My agent once again failed to explain that Non owned auto coverage which only extends full coverage to vehicles I rent or borrow but not my own vehicles.!!! Crazy right...
Saga continues.... Now we are up to Dec. 1st 2008, I called Mike Mullen to report a home damage claim using my supposed business insurance which covers any home I'm doing work in. I explained to Mike my situaton, Mike assured me that I would be covered 100% before getting off the phone with him. 1 hour later Mike calls me back saying that the policy wasn't issued because of a bounced check. Well this check was issued initially 8/27/08 when I signed on. Ironically the check wasn't cashed until 12/1/08 so I visited the bank to inquire about this check. The bank informed me that November 29th 2008, was the first time this check was ever presented to them and it cleared Dec. 1st 2008. The bank also gave me a copy of the front and back of the check, the also illustrated to me that the back of the cancelled check shows all activity on a check being presented for payment.The check never bounced!!!! 
This has been one nightmare after the next dealing with this shady individual so stay away from this insurance gangster. I'm still fighting this guy but had to let you guys know how he plays................
K
Phila, PennsylvaniaU.S.A.									",  Insurance Agencies ,1
 Nationwide Financing ,"  Nationwide Financing  7210 Jordan Avenue #B107 
Canoga Park, California U.S.A. ",, 773-506-0555,"Nationwide Financing - Nationwide Finances - Money Tree Lending Fraudulent Leads, Call the FBI 310-477-6565 and report them Canoga Park California","
										Don't do business with this company. I searched them on another search engine and nothing came up sticking to google. Got a call from Doug Snyder who sent me in writing that the leads were for homes in escrow and the client had no agent. He bugged me for a month and even spoke to a referral who said it was all on the up and up. I guess he was in on it too. 
I was going to do a credit card but they said they were not doing credit card anymore ( I wonder why) and ask for a check info at the last minute. If you do decide to do business with them I suggest insisting on credit card, better chance of getting money back from the credit card company.
Like the other reports, leads are fraudulent if you get any. I was suppose to have it sent to my email nothing; can't log into their system. Run from this company I have been contacting agents as the FBI wants anyone who has lost money to call them. I am a little embarrassed that I got fooled by this company. If it looks too good to be true then it is.
FBI LA office 310-477-6565. Please call if you lost money.
K
Torrance, CaliforniaU.S.A.									",  Insurance Agencies ,1
 Farmers Insurance ,"  Farmers Insurance  Farmers.com 4680wilshire Blvd. 
Los Angeles, California U.S.A. ",, 775-786-3577,Farmers Insurance deceptive and possibly fraudulant billing practices Los Angeles California,"
										first they inundate you with paper [4 to 5 pieces of mail a week] then they charge you 15$ everey time you make a policy change. Now I have a collection letter for a bill that was supposed to be an automatic deduction a year ago even though I dropped them over 6 monthes ago and I was told at that time that my account was paid up.
Rc4995
Kearney, NebraskaU.S.A.									",  Insurance Agencies ,1
 Huggins Financial Group ,"  Huggins Financial Group  2450 Atlanta Hwy., Suite 1303 
Cumming, Georgia U.S.A. ",, 775-786-3577,Huggins Financial Group Representing The Hartford Life And Annuity Insurance Company Agents should be very careful with these people. Cumming Georgia,"
										My experience with the Huggins Financial Group was disappointing to say the least.
They hook you by advertising ""NO PROSPECTING"".  Of course, they charge you $24 per lead.  Jeff Huggins appears to be a very nice person who has been very successful in the insurance business.  His sales pitch was very appealing.  However, after they make you pay $500 to simply join the company as a 1099 agent. Then they turn you over to a man named Frank Vandersande, a successful salesman turned General Agent.  He conducts all the training.  You receive training to sell one product, a Universal Life Product specifically geared to the mortgage protection market.  I found Frank to be extremely arrogant and incredibly pushy and rude.  He didn't like answering questions, preferring to tell me to  say exactly what he told me to say.  He liked to say, ""You don't need to think.  We've done all the thinking for you.  All you need to do is EXACTLY what I tell you to do.""
The training seemed rushed and incomplete.  In talking with others in the training class, along with a few agents who had been there for a short time, it seemed to me that very few really understood the policy we were selling.  I became afraid to ask Frank any questions because of his rude and unprofessional manner.
After a couple of weeks of Frank's rudeness, I quit.  As it turns out, I was typical.  Most people who pay their $500 and go through the training, then start paying $24 per lead and endure Frank's rude manner soon quit.  I just caution anyone considering this opportunity to BEWARE!
Bruce
Marietta, GeorgiaU.S.A.									",  Insurance Agencies ,1
