HughesNet ISP,"  HughesNet ISP   
Internet USA ",HughesNet.com,8663473292,," I am paying $73.00 (rounding up) for my hughesnet service and have been paying for it since 2010. I am using it more than I have in the last 3 years, we just downgraded our cable to save money. This is what I am learning.  1 TMZ video takes my status meter from 100% to 75%.  As this reduces so does my speed, often breaks and needed buffering. I am aware I have free tokens. I am also aware that in order to use them I have to wait for my status meter to hit zero - in the mean while - I have to put up with a dial up like speed. I would gladly pay $10.00 for the service they provide. Why so much for this service? Is it because it is the going rate? Everyone is doing it? Is someone trying to recoop the cost of putting the satelite up there? How long will this go on? The consumer gouging that is.  And try not to use the word Rural in your explanation - it's satellite, right? ",Internet
titanminer.com/,"  titanminer.com/   
Internet USA ",titanminer.com,888-565-5888,," on September 10, 2014, at 02:46PM EDT i ordered this part http://titanminer.com/?product=dragon-miner-litecoin-asic-60mhs-scypt-lketc  for $250 at this that was (0.53678264 bit coins) it was send to To 19tLNwa82ABhN3NoxBVXswc9PfPhnERJFx there wallet. here is the block tranaction https://blockchain.info/address/17bCT5q34REhP7z5xC486z4ckgAd5nS3DT  ok on the my story so i order it 9/10/14 i was told i would have my part in 7 days it would be shipped out next day. now they will not respond to any emails or anything which makes me think they took my bit coins and are going to run and give me nothing. if they do send it to me i will update with the date i got it.  ",Internet
KIXEYE,"  KIXEYE   333 Bush Street, 19th Floor 
SanFrancisco, California USA ",,415 400-8288,,Kixeye banned my account when in fact my account had been hacked and i have not done what they say and if they would take the time and look at my account they would be able to tell that what has happend was not done by my nor from my computer or my internet so surey they have this information i fell that i have been rounded up with the people that do cheat and because of that they have not looked into my indvidual case and tarred me with the same brush as the rest ,Internet
freedompop,"  freedompop   
Internet USA ",1115 foxhill drive,4126131009,," i have a problem with theese peoples , my internet is off since 3 days and they are not even answering the phone ,they hang up after 57 minits of waiting not one time 3 times. dont they agrevate me . i dont know whwt to do i am loosing buisness, beacause my tel is on majic jack too. ",Internet
Comcast,"  Comcast   
Nationwide USA ",www.comcast.com,18009346489,," I recieved a call from collection agency today on the weekend early in the morning for a current bill of Comcast. I recently disconnected my home internet because I got a new connection from comast for my home business. I paid my all dues but was told that I will recieve a partial bill, which I recieved yesterday ( on 9/12/14 with the bill date 9/7/14). It shows current and nothing is past due. I always pay my bill online. I tried to pay my bill online but my acount was disabled. I called comcast today and talk to Liz at billing and paid by myll $36.60 and asked her why comast sent my file to collection agency for a current bill and without sending me any letter or calling me on my phone. She said she dont know who send the file becuase there is Millions of people working in comcast. I asked her to transfer me to someone  or give me phone no of someone who can explain this issue to me but she said she have no idea and can not help me. I dont understand how comast can send a fle to collection agnecy for a current bill $36.60 for the customer who was with them for last 6 year and is still have business account with them. I am very frustrated and want to disconnect my current business account but comcast has monoply in our area. I dont have any other option to go with some other company. ",Internet
" retina-x studios, LLC ","  retina-x studios, LLC   
Internet USA ",www.mobile-spy.com,1-888-475-5345,," does not work as described.  Horrible ustomer service.  tutrns off phone bluetooth, disconects at random, doesn't connect, everything no live. I have 4 recordings of the same thing (did not record) geo locate only works occasionally or is way behind. Nothing is really 'live' Terrible ",Internet
Freedom Pop,"  Freedom Pop   
Internet USA ",www.freedompop.com,8557035785,," Well this company proved to be a total waste of time and agrivation.  I ordered 2 HTC phones and 1 proton hub mid June through Groupon.  Once they arrived, the call quality was crap and the data speeds were worse than DSL. I returned all devices to Groupon and received the creadit as expected.  HOWEVER the issue is that Groupon doesn't relay the information that they were returned.  YOU NEED to CALL THEM (expect a wait time of approx. an hour) and cancel your account before the next billing period. If you are even 1 day past, they will only issue a credit for the most current billing period.  They state that the service has been rendered (even thought I had no devices) and they will not transfer to a supervisor or manager.   At the end of the day... It was a 24.95 + 1 1/2 hour lesson abouut them  BEWARE ",Internet
HostGator.com LLC,"  HostGator.com LLC   
Internet USA ",hostgator.com,7135745287,," I am the webmaster for a non-profit organization. We have owned our domain name for several years. I took over the maintenance of the site a year ago. At that time, the previous webmaster contacted hostgator.com to change the point of contact to be me. I was then able to log into the account with my email address as username.Two weeks ago, my website was not found. I contacted hostgator and they told me that my domain name had expired. I asked why I wasn't notified. They didn't know! I said I wanted to renew it and they said I had to do it online. I tried to login and was unable to. The site came back saying that there was no account associated with my email address. I called again. I gave them my phone number and all of my email addresses. They said that none of those were associated wtih the account. They called the phone number on the account and were told by the person who answered that they had a wrong number. They emailed the address on the account (twice) and got no reply.Today I called again, explained the problem and what had been tried to date, and said that they needed to fix this. The person on the other end of the phone told me to log in. I said I couldn't. He said he would call the number on file. I asked if he didn't have notes in the file showing that all of these things had been tried before. He said yes, was silent for a minute or two (I assume he was reading the file notes) and then said he would email the address on file. Again, I told him that this had already been done and that if he couldn't fix this, I wanted to speak to his supervisor. He said there was nothing they could do. I reiterated that I wanted to speak to his supervisor. He put me on hold. When he came back he told me that his supervisor said there is nothing they can do, and I would just have to wait a few months until the domain name was released. He would not let me speak to the supervisor.I informed him that this was an unacceptable way to run a business! I understand that they need to protect their customers from having their domain names hijacked, and I appreciate that security measure.     There has to be a way to fix this!! ",Internet
keynetics,"  keynetics  917 S Lusk St #300 
Boise, Idaho USA ",www.keynetics.com,(208) 489-3300,,You will inadvertently try a trial membership. What you do not know is that you have to call them to cancel the membership.  The company then continues to bill your account via paypal without having sent you any subscription notification. The customer support phone numbers for Clickbank are a joke.  You will never get anyone on the line. Calling the keynetics phone number is equally as interesting. They want to switch you to the Clickbank number which will not get answered.  If you insist on speaking with someone and not be transferred you first speak to a young naive phone person who is just happy to have a job in Idaho.    The supervisor is more helpful but will only refund half of the money which Keynetics ripped off from you.   Be very careful regarding any business dealings with Keynetics or Clickbank. They are just another internet rip-off.,Internet
GiftCardrescue.com,"  GiftCardrescue.com  6230 Old Dobbin Lane, Suite 190  
columbia, Maryland USA ",giftcardrescue.com,1-877-800-4413,," When I sent in my gift cards I was not told by Clarence that I would have to pay postage back to have them returned to me. As a matter of fact, I was instructed to just send them in by Clarence. So the week of August 4th, I sent in my gift cards for my order. The order was suppose to arrive one week later.   On August 12, 2014, I sent in an additional packet of McDonalds Gift Cards to Gift Card Rescue. They were supposed to receive the McDonalds gift cards on Friday August 15, which they did. I have a copy of the receipt from the post office.   I spoke with Gift Card Rescue more than once and they told me they did not get the cards. I even chatted with them and then got an email stating they never got the cards.   On August 21, 2014, at 1:10pm I was informed that Giftcardrescue has not received my gift cards for order J4QC.    “This is a friendly reminder from GiftCardRescue.com that as of 2014-08-19, we have not yet received your gift card for order (J4QC).”     Since I was informed my gift cards were not received I had to open a case with the Post Office. I got a call back from the Post Office Branch Manager and I was informed that the cards were sent. Giftcardrescue continued to insist they never received the gift cards. I was also mailed a mail recovery from by the post office to trace the gift cards.   Later in the day on August 21, 2014 Gift Card Rescue informed me that they received the cards.     The other issue I have is that they were going to buy my cards and then backed out. I was informed yes we want to buy your cards. Then I was informed to sign paperwork to complete the sale.  I did this and sent my drivers license I feel like I they did a bait and switch on me.     It is worth mentioning this company is not an accredited business and has a 0.8 rating on resellerratings.com   I was hoping to workout these problems with this company, but have not been able to.  I have paid more than $5 to ship my items. Now they want me to pay the bill to return the cards with a self-addressed envelope   This is not simple because I have to calculate how much the gift cards weight and buy the postage to ship back, which is a complete nightmare. I have sold similar McDonalds gift cards with giftcards.com and they accepted my gift cards without any issues. They also verified the balance and everything was fine.     In the end, several issues could have been avoided. If they did not want to buy my gift cards they should have processed the first order in a timelier manner to avoid me sending in the additional cards. I should have been informed right before sending my cards I would have to pay for return shipping. I have sent in receipts with proof of purchase for the McDonalds cards. There was no suspicious activity or fraud involved. I was also willing to send the credit card statement in which I bought the cards with. I was even informed not to send in my credit card statement with the proof of purchase.   When this type of issues arrives companies make an effort to resolve the problem with the customer.  Gift Card Rescue has not given me any compensation or replacement for all of my inconveniences. Instead Giftcardrescue has ripped me off and made me feel like crap.   ",Internet
