American Law Division,"  American Law Division  3004 N.E.127th street 
Seattle, Washington United States of America ",,206-223-1669,"American Law Division Louis Parker  I kept receiving threatening calls from a Louis Parker saying that I had received a Cash Advance for and did not pay it back and was being sued and I Needed a Lawyer. Seattle, Washington","   I kept receiving threatening phone calls from a Michael Johnson at first saying I had received a $100.00 dollar Cash Advance Loan and did not pay it back and I Needed to get a lawyer,mind you this was on my cell phone and he had all my information. 
  I then called back and ther was no Michael Johnson but Louis Parker could help me with my case. He said a complaint had been filed by Cash America Advance on me and they were taking me to court and would be here to file at my court house in my county because I was being sued for $3000.00.
  I asked him what was the name of the firm and he said American Law Division and they were out of Seattle Washington. I then went to the computer and found your stories so, I called back and told him I was reprensenting myself and to fax me a copy of the affavdaits he put me on hold. Then came back and said NO Problem that was five days ago still no papers and no phone calls.. Thank You soo much for putting this on the internet. I have never received a payday loan but was really worried....  Barbara  Texas ",Lawyers,0
Pressler & Pressler,"  Pressler & Pressler  7 Entin Road 
Parsippany, New Jersey United States of America ",,206-238-6884,"Pressler & Pressler  Deceptive, crooks, illegal,  Parsippany, New Jersey","
										You must report Pressler & Pressler to the state bar.  Pressler's addresses are in New Jersey and New York. The New  York address is 105 Broadway, 9th Floor, New York New York 10007.   Assuming you have all your ducks in a row, continue to pressure Pressler & Pressler.  They will continue to issue levies on your accounts even after you paid.  In New Jersey a creditor has 6 years from the date the account was opened to collect monies (see N.J.S.A. 2A:14-1).  Pressler is infamous for serving defendants at old addresses too so make sure you have all your documents and mail forwarded.  This firm will call you, your family, your neighbors and your job.  They will ignore letters, faxes and phone calls so everything you do, do it certified mail and if you have to involve the Federal Trade Commission (file a complaint), contact your state attorney general's office and the state bar - file an attotney ethics grievance and copy the secretary (county office where thier office is located). [continued below]....
									
										.....  Bottom feeders like Presser & Pressler bank on that you don't have time or energy to fight them off or that you cannot afford an attorney.  Trust me I know.  I am well versed in the legal system and they tried my patience.  I also reported them the Internal Revenue Service because think about it, after the debt is paid they are still hounding you for more money.  What do you think they are doing with the money?  I requested the IRS to audit their books.  Now another piece of information for you, when they levy on your accounts, a court officer is involved from the Civil Part.  Contact them as well..show them your proofs.  Those government offices are not going to play these games with Pressler & Pressler.  Also beware, those information subpoenas Pressler sends out? The bench warrant (providing you don't return the information subpoenas) is good only for two years.  Pressler requests this subpoena just to make their lives easier...all your assets are listed, your personal information and employer).  I have dealt with this firm for a relative of mine and I went toe to toe with them.  They are nothing.  I consider this firm ""you couldn't hack it as a real lawyer so you are doing collections.""  Don't let them intimidate you.  They tried with me and they didn't know who they were dealing with...I was not going to allow my family to be intimidated or abused by these guys.  Good luck!									",Lawyers,0
Terry W. Rombough,"  Terry W. Rombough  3825 green oaks Blvd W 
Arlington, Texas United States of America ",terryromboughlaw.lawoffice.com,206-9478729,"Terry W. Rombough Immigration Law office of Terry W. Rombough Terry Rombough is a crook who took my $1575 and promised to file my citizenship application that was 3 months ago. His wife answers the phone and tells me one liar after another. Called immigration an Arlington, Texas","
										 Terry W. Rombough  took my check, cashed it and promised to file my citizenship application and that was 3 months ago. I leave message and noone returns my calls. I finally get his wife/secretary on the phone who tells me one lie after another. I called immigration just to find out he never filed my documents. Just realized he has done this to so many immigrants who were not able to speak up for themselves and a lot of them were deported because of this lawyer.
 Thank God I'm fortunate and have time to do the necessary procedure to get my citizenship but my heart ache for those who were not.
 Do not hire this man  and loose your hard earned money. He is a crook!									",Lawyers,0
" The Law Office of Brett Margolin, PC ","  The Law Office of Brett Margolin, PC  140 Fell Court, Suite #116 
Huppauge, New York United States of America ",,207-7721700,"The Law Office of Brett Margolin, PC  LOAN MODIFICATION RIPOFF OF $4,000   Huppauge, New York","
										     July 31. 2009 I was recommended to the Law firm of Brett Margolin PC (BMPC) to negotiate a loan modification from my lender, Wachovia Bank. Before signing their documents I emphasized to BMPC that if they were in any doubt as to the possibility I needed to know up front so that I would not engage them.
     I submitted my documents to BMPC's representative Cheryl LaPuma, and after review she reported to me that from what she saw there should not be a problem.  She sent me their documents and requested legal fees of Four Thousand Dollars to be paid immediately. I paid $4,000 promptly in two instalments within 21 days, I was desperate.  At the beginning everything appeared to be going well on my case but after three months BMPC changed the person handling my case and getting feed back from BMPC became almost impossible. 
     Wachovia subsequently placed my home in foreclosure, that is when another BMPC representative telephoned me urgently, asking several questions some of which I explained that I could not answer because I was on the road in my car, on a cell phone and did not hae any documents in front of me.
     The pattern of no feed back to my inquiries continued; my case was transferred to five different representatives then finally in May 2010 BMPC representative - Nicole Colson told me that BMPC could not help me and that I should find a local attorney and file bankruptcy.  
     Since then I have been requesting a refund of at least a half of my $4,000 but BMPC does not respond to my emails, they ignore my letters, and when I telephone BMPC representatives either keep me on hold endlessly or they pretend to transfer my call and disconnect me. 
     This is so unfair, I am entitled to most of my money back and there should be some way to stop this dishonesty, it is a crime.									",Lawyers,0
" S. Jawn Ross, P.C. ","  S. Jawn Ross, P.C.  PO BOX 12640 
Internet United States of America ",www.jawnross.com,208-492-2780,"S. Jawn Ross, P.C. Jawn Ross Lies to court and exacerbates issues  , Internet","
										Jawn Ross uses her law degree to provoke drama and extort money from her clients. She preys on her clients by taking their simple case and rather than settle the issues, she grossly exacerbates them , shall we say fanning the flame, poking the bear, kicking the hornet's nest. Once the case is as messed up as it can possibly be, at her client's expense, of course, it takes 3 times as long to unravel. Of course this is what she wants because she gets paid to try to unravel the mess she made. 
A good lawyer is much like a good chess player. A good lawyer resolves problems and has a strategy. Jawn Ross does not try to resolve anything or have any strategy other than to suck billable hours out of her client. She does not care if she wins or gets clobbered because she gets paid for her time. As the verdict is being read, she is too busy counting YOUR money that is now in HER bak account to even care how the case panned out for you !! 
She lies to the court, she creates issues where there are none, she makes a fool out of whoever she represents, she is petty, minutia-focues, and irritating kinda like a pimple on your a**. She gets hysterical and ridiculous in her motions to the court much like a yappy little Maltese on the rag. She is laughable and not respected by her peers. They nicknamed her "" The Gnat "", "" The Flea "", "" The Idiot "". 
Jawn Ross is a joke of a lawyer and a pig of a human being. Just my opinion based on what I have observed...   									",Lawyers,0
AMG LLC LAW OFFICE,"  AMG LLC LAW OFFICE  3RD COURT STREET 
AUBURN, New York United States of America ",,210-418-1011,"AMG LLC LAW OFFICE  LIAR AND RIP OFF AUBURN, New York","
										I have received 4 calls from a ""Mark Smith"" with a mid eastern accent and a lot of background noise threatening me if I don't pay.  He never once told me who he was representing except a payday loan company.  He left a phone number for me to call back and when I did he said he was ""James Bond.""  I refused to give any information and was again threatened.
Suspecting this is a scam I called the police and they called the same number.  The same background noise was observed and the person was the same person only this  time he said Mark Smith was not  there but he was Mark Green, the supervisor.  Once he knew it was the police calling the conversation ended.
This group is trying to scam money from people.  Do not listen to them and never give them any information.  Contact your local police and State Attorney General's Office and put a stop to these people.									",Lawyers,0
Blanchard Merriam Adel Kirkland Law firm,"  Blanchard Merriam Adel Kirkland Law firm  4 South East Broadway St. 
Ocala, Florida United States of America ",www.bmaklaw.com,210-581-2400,"Blanchard Merriam Adel Kirkland Law firm Edwin ,Trip Green doing business in the  above law firm Bad lawyer, liar, serious Anger issues, Deceptive business practices Ocala, Florida","  
This man who goes by an alias, ""Trip Green,"" who's real name is Edwin Green, I guess I can understand not using your real name in this case. He takes thousands of dollars of peoples money and does not perform as agreed. Once any type of argument is forthcoming form the other side he simply gives up. He sells himself as a pit bull but in reality he does not want to go face to face with anyone. He is a liar and he has taken thousands of dollars from us, a non profit and when he did not do the work he promised to do and when we would tell him, he would simply quit which he did 4 or 5 times in 6 months. He has serious anger issues and he a real bad attorney in our opinion. Hell he does not even operate out of the law firm most of the time, he is at home and pretends he is at work.
we cannot say anything good about this lousy attorney except stay away from him! We only did business with him because his father asked us to use him out of pity. Real bad news!
This complaint is NOT against the law firm that he works in, only against him, Trip Green personalty.									",Lawyers,0
American Law Division,"  American Law Division    
 , Texas United States of America ",,212-330-9790,"American Law Division United Attorney Services Harassment, Fraud, Texas","
										I have been receiving call from a gentleman by the name of Alex Parker.  He claims that he works for a company named American Law Division and that he is calling on behalf of their client Cash advance america.  He has been calling my home, work, and cell phone.  Today, when they called me I informed them that I had reported them to the local police department and the Federal Trade Commission, Mr. Parker hung up on me.  They were threating to notify my employer of the case and have my paycheck garnished.  
One thing that gives them away as a fraudulent company is the fact that their phones have a echo which means that the call is being bounced off of different towers.  I was taking in once by this company and they got me for over $300.00.  I pray that someone can stop these people from harassing me and other good citizen.  We live in a time were everybody works hard for their dollar just to have someone try to take it dishonestly.  Please save any and all records that you get from this company just in case they are caught.									",Lawyers,0
AFNI COLLECTIONS,"  AFNI COLLECTIONS    
Internet United States of America ",www.afnicollections.com,212-558-5500,"AFNI COLLECTIONS  Sent two letters for past debt from 1999, that have never been on my credit reports, Internet","
										I recieved a call from AFNI  Collections.  They said they were attemptiing to collect two different debts from 1999.   One was for $483.00 from Sprint PCS.  The other was for T-Mobile for $335.00.  First of all, the only time I ever had a SPRINT PCS account was when i worked for them.  Secondly, Isnt statute of limitations for 7 years???  Its been 12!!  Neither of these have showed up on my credit report.  I WAS about to pay these, until I heard the phone message that i could handle my account on line. So, i typed in AFNICOLLECTIONS.COM   Lo and behold, all of these Ripp off reports showed up!  Thank you for fileing these,  you saved me a lot of money!!! 									",Lawyers,0
" Kramer & Kaslow law, K2-law, ","  Kramer & Kaslow law, K2-law,  151 kalmias Way, Costa Mesa, Ca, 92626 
Internet United States of America ","kramer-kraslowlaw.com, k2-law.com,",212-695-0060,"Kramer & Kaslow law, K2-law,  Caution! If you reciveid a notice to join a lawsuit! This is a Idenitity theft of a business name and reputation and a scam to swindle thouds when you are trying to save your home. Internet","
										Kramer & kaslow law, Mass Joinder lawsuit Scam, Scam, Scam
 
Kramer& Kaslow law, Mass Joinder Litigation Lawsuit mailer is a fake!
K2- law is is a fraud!
Please don’t fall victim to these scammers who are fraudulently using a reputable lawyer’s name and reputation to scam people out of $5,000-6,000. 
What makes this so hard to investigate is the fact that the scammers are using a recognizable name and litigation that is actually a valid case.
But unless you really sign up with Philip A. Kramer, from Calabasas, it is not legitimate. The fraudsters use really similar names, which makes it really hard to decide if it is a scam or not. 
So Mr. Kramer has tried to put a stop to it by making a cease and desist order on all the fake company’s and websites, that are using his name and reputation to lure you in to there scam.
Please don’t be scammed like we were almost and if you were I would like to here from you. Good luck in your quest for justice. ""Mandelman matters"", interviews Mr. Kramer about the Case and the fraud. Please go to his website for the full information									",Lawyers,0
