 Nationstar Mortgage ,"  Nationstar Mortgage  350 Highland Dr 
Lewisvill, Texas USA ",: www.nationstarmtg.com, 1-877-304-3100,," This company has continued to baffle me if you look them up they have over 5,000 complaints I have found alone I am trying to get a class action lawsuit I don't see how to get this done when everyone and every website will not let you post your name or email or phone number. I have a court date the 16th of this month against nationstar. I am countersuing and wanting to file a class action lawsuit as this company is nothing but a scam. The company is made up of a bunch of head of employees from Bank of America who left formed Nationstar Mortgage and guess what all of the sudden Bank of America sells a bunch of mortgages to guess who...Nationstar now that kinda falls under insider trading just a little bit but we will get back to that. What the company actually does is forces you to take their escrow, their insurance raises your rates without your permission, then when they have drained you for all the money they can get out of you they tell you you can qualify for a HARP loan and they will get you approved. You are instructed to not make any payments and then they start the I didn't recieve the paperwork, this paper was missing you didn't sign this paper, then while they are working on your loan you will find your house is up for auction while they are working on your ""loan modification."" Suddenly you recieve a letter that you didn't qualify for loan modification because you missed payments even though they told you not to pay and they mark your credit so you can't get a loan modification from anyone else and about a day after you get the you were denied a loan modification you recieve notice that your home was sold at some mysterious auction that nobody ever attended because they didn't tell anyone and then they take your home and all of the sudden Nationstar owns your home, then they offer you cash for keys if you will move out in 30 days, they won't pay that money because they have their lawyers sue you for denial of access to the property for the 30 days your there. Just check with any website that deals with complaints and look at how many people have lost their homes to this scam. I want to file a class action immediately. Bank of America is involved in this as well. (of course they are). I have a court date the 16th of this month in Springfield, Mo any attorney interested I actually have 5,000 people who are wanting to file a class action lawsuit. ",  Mortgage Companies ,0
 Champion Mortgage ,"  Champion Mortgage  PO Box 91322 
Seattle, Washington USA ",www.championmortgage.com, 1-877-591-7684,," When my Mother passed away, I contacted Champion Mortgage within two weeks to discuss paying off her reverse mortgage. They would not discuss the loan until I provided proof of my Mother's death, which they already had because they sent me a letter stating so, along with documentation that I was the person responsible for the estate. Over the next two months I received bi-weekly letters from them stating that the loan is now due. I sent them a letter of intent to payoff the loan along with all the requested information. The harassing letters continued along with letters taped to the front door of an empty house with the word Confidential in bold letters signaling to any burglar that nobody is home. They continue to send registered letters stating that I have not attempted to contact them when I have both a paper trail of faxes and letters sent along with a complete log of every time I have called them. In the course of trying to refinance this reverse mortgage when the title company called, Champion Mortgage would not provide required information without my intervention. When the company refinancing my mortgage, a very reputable well-known one, tried to contact them they were told they no longer had that reverse mortgage. When I provided my refinancer with the the reverse mortgage information and a payoff letter was requested they were told it would take 7-10 business days to provide a payoff letter. Meanwhile the expiration date for my refinance is approaching because we cannot obtain a simple payoff letter from Champion Mortgage, somethingg that any reputable company should be able to provide in minutes. I don't know what to make of a company that demands immediate payoff but makes it impossible to do so because they will not provide a payoff letter to a nationally known and advertised lender. One thing to note. They refuse to do any communication via fax or email. Only by phone. But, of course, when one does so by phone there is no legal record. This company seems focused on doing everything they can to make sure that a reverse mortgage always goes into foreclosure. ",  Mortgage Companies ,0
 Alliance Financial Resources ,"  Alliance Financial Resources   
Phoenix, Arizona USA ",www.afrhomeloans.com, 1-877-768-3759,," Consumer beware! Once you apply to a lender and the lender checks your credit, Alliance Financial Resources buys the leads from the credit bureau.  Alliance Financial Resources tells the consumer that they ""are matched up with another licensed lender to make sure you do some rate shopping and fee comparison, just to make sure you are getting the best possible deal for you and your family"".  Totally false. Once your phone number is in the system, you can expect to get called 2-3 times a day, and up to 10 phone calls. Employees encouraged to haggle with you until they get your social security number. Ask for Anne Eldridge, the 400 pound Telemarketing Manager, to find out why she encourages employees to keep calling the same leads who have been called over and over and over again. Phone is 623- 313- 2387.  Alliance Financial Resources doesn""t help people.  Alliance Financial Resources harrasses people. ",  Mortgage Companies ,0
 Green Tree Servicing ,"  Green Tree Servicing  Green Tree Servicing LLC 345 St. Peter Street St.  
St Paul, Minnesota USA ",GTServicing.com, 1-877-783-7480,," My home was damaged in a fire. My insurance company sent me a check for over $18000 for the repairs. It was made out to myself and Green Tree Servicing (my mortuage company). I had to sign the check and send it to Green Tree along with the estimates on the damage. There was approximatly $2000 in material and $16000 in cleaning and labor. Green Tree has a 7-10 day waiting period to process the check. If there is anything missing from the documentation then they start the process over again. Supposedly the first check went out yesterday after over a month and it was only for $1000. Every aspect of the work has a different set of documentation, one for the demo, one the clean up, one for the sheetrockers, one the painters, one for the carpet install, one the the AC/Ventilation cleaning. Then each one will have a 7-10 day waiting period to receive their money unless the documentation is wrong, then the 7-10 day process starts over. I believe they have found a great way to invest peoples insurance money. If you are considering a home loan, I would strongly encourage you to go somewhere else. They have been very difficult to work with. ",  Mortgage Companies ,0
 JP Morgan Chase Mortgage ,"  JP Morgan Chase Mortgage   
Nationwide USA ",chase.com, 1-877-867-7378,," Hi my name is steve JP Morgan Chase Mortgage is embezzling US money.There sending it to iran.I paid off my ballince of 96,000 with a cahers check.They tryed to action it off with me still inside?Told me it was a private auction. I still have to pay to live there? ",  Mortgage Companies ,0
 Ocwen Loan Servicing ,"  Ocwen Loan Servicing  1661 WORTHINGTON RD, STE 100 
West Palm Beach, Florida USA ",www.ocwen.com, 1-877-913-3376EXT.03852,,"  I had a mortgage with OCWEN.  I refinanced through another company and closed on my house on 2/28/14.  OWEN took out another payment from my checking account on 3/7/14.  I have been due a refund since then totaling over $2,000.  Since that date I have been given one run around after another.  First they told me that the amount would be transferred to my account.  Then they told me that they were sending a check but it would take 30 days.  Now it has been past 30 days and they want to stop payment on the check saying it is lost in the mail.  They say that they will have to research this and that it will take 15 days to research before they can directly transfer the funds to my account.  I feel this has all been a tactic to use my money to draw interest on it for as long as possible.  They have put me in a huge financial bind because I need to pay my mortgage to my new lender and OCWEN continues to hold my money. ",  Mortgage Companies ,0
" SELECT Portfolio SERVICING, inc. ","  SELECT Portfolio SERVICING, inc.  P.O. Box 65250 
Salt Lake City, Utah USA ",www.spservicing.com, 1-888-224-4702,," Select Portfolio Servicing opened on escrow account in 2011 to pay my taxes which I've been paying ever since on 2-11-2014. The City Of Utica Urban Renewal Agency POSTED a notice to VACATE property by 3-31-2014 at that time I had contacted SPS to find out why my taxes weren't paid there reply was we sent you a letter of denial in Dec 2013 for escrow modification  I told them I never received any letter(s) stating of such if I did I would have taken action to resolve this before it escalated to this point also asked why it took 3 years to notify me of this. There was no response to that question just to fax a copy of the notice to vacate to put in for review. Which I did on 2-11-2014 but took then till 3-18-2014 to send a conformation letter to my fax that it was still being reviewed at this point my house is up for auction by the city. [continued below]....
									
										..... The form of relief I'm seeking is to just to be able to keep my house and for them to fix any repairs of the matter. ",  Mortgage Companies ,0
 Nationstar Mortgage ,"  Nationstar Mortgage  350 Highland Dr.  
Lewisville, Texas USA ",, 1-888-297-2432,," Nationstar Mortgage has caused us to become delinquent in our mortgage.   We were able to have our loan modified in November after making the three trial payments.    At that time we took the paperwork to the bank to have it notarized, attatched a void check to the paperwork and specified to have the payment taken out the 10th of the month.    I did not know the payments were not being taken out, I assume they lost the paperwork.   Nationstar sent a certified letter to us stating we were behind in our mortgage in March.   Between that time, we were not sent anything in the mail.   Now it's almost impossible to catch up with the debt. My husband has a used car business and the payments were taken out of the business account.   Nationstar will not help us at all, or put us on a repayment plan. ",  Mortgage Companies ,0
 Vanderbilt Mortgage ,"  Vanderbilt Mortgage   
Nationwide USA ",vmf.com, 1-888-315-8733,," My mother, brother and I applied for financing a mobile home at Clayton Homes.  Everything was cool, ""you're approved"".  Then things kept changing.  They wanted upwards of 14 percent interest.  The salesman actually told me that it was because of my mother's age.  He said, ""It looks like discrimination, but it's not, they're offering a loan..""  I'm sorry, but that is discrimination and a violation of federal law.  Under federal law you cannot change the terms or interest rates because of race, creed, age, religion etc.  Recently, I called another Clayton dealer amd told him about my experience with Vanderbilt.  He told me that ""I know we're not supposed to.. but we'd have to take age into consideration again.."" blah blah blah.  That's an actionable cause, and next time I will take legal action. ",  Mortgage Companies ,0
 MGN Funding ,"  MGN Funding  30-50 Whitestone Expy. 
Flushing, New York USA ",MGN funding.com, 1-888-480-2432,, I was hired by MGN Funding to complete a FHA real estate appraisal for a property in Queens NY. MGN funding refuses to pay the outstanding fee of $500 . The appraisal was completed and accepted by MGN Funding an used to loan on the property in Queens Village. The fee is over due by 6 months and they refuse to even answer my phone calls and emails. ,  Mortgage Companies ,0
