 sonobello ,"  sonobello  1111 Exposition Blvd 
Sacramento, California USA ",sonobello.com, 9169781087,""," Last year I decided to do something, I had been contemplating for a long, long time;Lipo. Im 45 and although not visibly overweight I could feel the extra weight slowly creeping on. So I scheduled a consultation for me and my daughter(who decided the procedure was not for her).The consultation went ok, It was quite a bit more $$ than I thought with the abdomen, hips, thighs, broken down into more areas and of course they charge per ""area"", and of course one area done without the other would look out of proportion, so I had a total of 7 or 8 areas scheduled to be sculpted, the consultant said the pain was minimal, the recovery was easy and you were awake during the surgery, easy. I Had saved up some money(seriously this was all my savings),stupid but thought it was worth it. I paid the 7900.00(approx..dont have the bill in front of me). On the day of surgery I was asked to get there a little earlier because there was a cancelation, and I did get there early but not as early as requested. Again I was told the recovery is very quick and the pain is minimal. I was told a few times I would be awake throughout the entire procedure. I consulted with the nurse and Dr Hagstrom in Sacramento. I was looking at the before and after when he walked into the exam room and he stated, ""well just remember, only the best go in the book"" which was my first vibe of weirdness. During the exam I told him the sales consultant told me to tell him to sculpt around the knees. She said they usually have no problem with it, but he said ""she told you that, I wish they wouldnt do that"" To this day I dont know if he did or not. I got to the room where the actual surgery was done and I recall asking the nurse for a band to pull my hair back with. The nurse brought me the band, I pulled my hair back at approximately 2pm. The next thing I knew, I woke up at 4am, home in my bed in the most horrific pain I had ever been in. I could not move...I laid there and screamed and cried until someone heard me from another room and assisted me to the bathroom. To put this pain in prospective I felt as if I had had a c-section without anesthesia and thrown to the shoulder from a moving vehicle(I had NO idea it would be this painful. I called the office and was told It was normal, I asked to refill my pain medication and was given one refill and told that was it., they only refill once The pain lasted for at the least a month and gradually wearing off, thank god I was not working at the time, because there was NO quick recovery. I started following there suggested regimen to reap the maximum benefits. It has been about 12 months now and really just want to cry when I think about it. My thighs are asymmetrical and lumpy and I have lumps on my stomache. I did send an email to Sono Bello in Sacramento and got a pretty quick call from them. I spoke with Michael who essentially said , I was not getting my money back. I asked for the corporate number and he gave me the 1800 number for sonobello, Im pretty sure their corporate has a number. havnt called yet, will update if I do. Has  anyone been successful with refunds from thjs place. They promised a service they didnt deliver and I honestly just want some, not even all my money back. ",  Plastic Surgeons 
 kaplan cosmetics ,"  kaplan cosmetics   
Internet USA ",kaplan cosmetics.com, ,"", I went there look out of in the computer. had a visit gave me anything to give him four thousand times. then we started the process. there is a dog in the office please do not let him put you in your mind that is for stress it is really disgusting. then after that a doctor help him do the surgery one of him did my left breast really nice and Copland's first of all he was really uncomfortable when he was doing it and hedid it wrong so I have got an infection. he called me back a week after he took the implant out send me home where there 15 days came back and he reopened it and put me another implant another infection and he was supposed not to do that you have to wait at least a year for everything to heal up and then we do it but he didn't care dance a. Surgery he couldnt on me because I was so he didn't care and he still did it like that. I have a friend witness and theand then even the nurses were cry so he send me home .15 days after my whole skin ripped off like when you rip in a claw. I went to the emergency room. I'll leave a quart of blood an hour almost died went to emergency room. I have proof of that paperwork he said not to torture. when they call him they said that they couldn't do nothing because he was the surgeon not to touch. so he sent a friend not even not even an employee a friend that he did a malpractice to to come and pick me up at the hospita. lafter she pick me up at the hospital took me to his office he reopened me without no anesthesia again because my body wouldn't take it. took it out close it back again send me home. then he called me that he order a fake muscle because he already cut everything on my breasts. so hot now I have no breasts and I'm only hanging one but they did right anyways not even a helper a Chinese guy named Jean Dr Jean. I have video of Dr Jean working on me cleaning me trying to fix up his mess. I have all this paperwork about everything so then againhe send me home. I couldn't no more I was 89 pounds almost died in my husband had to feed me it was horrible. I will not waste is to not even my worst enemy. so after I recuperate I went back to try to get my money and he said no that he would try to fix it. I was so afraid that I said no I want my money back he deny my money back so my husband comes in I've been trying to hold him all this time but he couldn't no more and he was about to the same he did to me to that guy. so he called police and we couldn't do nothing and when I went to a lawyer the lawyer refused. the lawyer refuse because he just lost the case similar to it and Copland's paperwork you sign a waiver saying that if you get an infection he's not responsible and you can not see him. sobe aware read everything before you do actually don't do nothing with this guy he's a real butcher and you feed buddy to do it for him be advised. at the same time I would liketo ask for some help if somebody or a dog that I read this when I leave. help me I will pay you I just don't have the whole money together but I can pay you monthly .I need someone to ,  Plastic Surgeons 
 Chase Plastic Surgery ,"  Chase Plastic Surgery  321 North Mall Drive, Bldg N   
St. George, Utah USA ",www.chaseplasticsurgery.com, (435) 634-0358,"", I went to see dr chase in july of 2014 and had rhinoplasty as well as a brow lift.  the anesthisia did not take and i was in sever pain.  then the results are horifying.  and now when i call connie will not even let me talk to dr chase.  connie is the rudest and most unprofessional cold hearted person ive ever delt with.  I am hopeless and she actually laughed at me when i told her this.  please do not go to see dr chase and do not try to get anything from connie she is hateful. ,  Plastic Surgeons 
 Ress Plastic Surgery ,"  Ress Plastic Surgery  6877 sw 18th st 
boca raton , Florida USA ",ressplasticsurgery.com, 5613471611,"","  Completely uneven and ugly looking eyes after the double eyelid surgery here.I had a double eyelid surgery as my eyelids were starting to droop as I am getting into middle age.  I had chosen him because his credentials looked good and the before and after photos on his websites looked good as well. i found out later they werent even his before and after photos- During  the pricing discussion, the business person who dealt with me offered me $500 off the surgery  price if I posted a positive review on  yelp.  Hmm.  However I decided to go ahead.  I figured they were just trying to get good reviews.I felt that his pre surgery consultation to determine my eyelid shape was too rushed and he did not ask for my opinion about it, and he was more interested in my ipad that I brought (with photos to show him the eye shapes I wanted to show him).  He did not even look at the pictures.  Surgery itself was quick and painless.  However, immediately I can tell the size of the double eyelid line were completely different and my left eye was an infold and the right eye was an outfold.  For over three months, I had wear glasses or sunglasses to hide the eyes.  IN the process of healing, there were a lot of problems with multiple acne like infections on the eyelid lines, and after a few months, the line on the right eye became less defined and fuzzy.  By six months, my eyes looked OK from a distance, but up close, you can see how uneven they are. The shape of the left eye was a random rectangular shape and huge, and the right eye had a fuzzy line and small. I felt really bad having made a decision to do a double eyelid surgery because I had attractive eyes with monolid and had liked them until they started to age.At the end, I decided to go through a revision surgery with another Boca Doctor, and I am so happy that I made that decision.  It turned out to be a major work and costly since the doctor in Boca had to do multiple corrections including the balancing the size of the lines, making both eyes infolds, and reversing the overcorrected ptosis (which I had not asked Dr Ress ) that had resulted in a slightly flipped up upper lid look.  It took 3.5 hours to do the revision.  It's been a month after a surgery, and it already looks better than it did 6month post at Dr Andrew ress.  It even looked good on the next day after the surgery despite the bruising and swelling because both eyes were balanced this time!!I really think Dr. Andrew Ress is not a good cosmetic surgeon.  I believe he has no sense of visual aesthetics and balance and skills.  It is a shame that he promotes himself as an ""expert"" in double eyelid which the receptionist told me when I first visited them.  Please save yourself from the trouble and look elsewhere if you are looking to get double eyelid surgery. ",  Plastic Surgeons 
 Liv Plastic surgery ,"  Liv Plastic surgery  6877 sw 18th st 
boca raton , Florida USA ",livplasticsurgery.com, 5613471611,"","  Worst experience ever!  I went to his  office ( hair salon)  that had his name plastered in ever room. I thought that was a bit much. Put in one room to wait. Then put in another room. I went to get my nose checked out. He looked up my nose for a second if that!!!  I don't care if he's busy .  I want him take his time and look at me and let me know what he thinks.  Having a surgery and being hurt is a scary thing!!! If someone going be cutting up in me and doesn't even give me the time of day. I don't care how good of docter he thinks he is. But, he needs change his way of dealing with people.  Also I am sitting in the middle of a HAIR SALON!!! He does his surgeries in the back of a hair salon. i felt like i was on a bad episode of Nip Tuck!!!   NOT PERSONABLE AT ALL! Next I have several questions. He rushs through them and keeps saying I will  get some lady in his office to go over the pricing. He didn't take his time with me at all in any way!!! Then one of his workers just walks in says nothing to us. I don't know if this is the lady he said was going to talk to me.  How rude doesn't say oh excuse me I am putting some tools away. I have to ask who are you. Then she says her name and makes no conversation with me. I thought that was very unprofessional. I was just a number for Dr. Ress. Also, he obviously doesn't like being asked questions. He thinks he knows everything. Obviously, doesn't care about people. If I come to someone and I am hurt and need a surgery. I want someone that takes there time with me. ",  Plastic Surgeons 
 Colorado Surgical Center & Hair Institute ,"  Colorado Surgical Center & Hair Institute  9218 Kimmer Drive Suite 107 
 Lone Tree, Colorado USA ",http://www.coloradosurgicalhair.com/, (303) 857-5799 ,""," Two years ago I decided to have my second hair transplantation and found CSCHI online. They said that they had more than 20 years of hair restoration experience and they offered a considerable low price ($2/graft).  Mr. Chris McTyre (owner) told me that my satisfaction was guaranteed. After I talked with Mr. Chris McTyre, I paid the deposit and made an appointment on June 2, 2012. When I reached the clinic in the morning, Mr. Chris McTyre was not there and a nurse welcomed me. Since the doctor was not there yet, I had more time to chat with the nurses. One of the nurses told me that Dr. Gerald Searle would do the operation for me.  He was the most experienced surgeon at this clinic (they had two surgeons at that time) and he had 1.5 years of hair restoration experience. What?! Their most experienced surgeon only has 1.5 years of experience?   Then, why did they say that they have more than 20 years of hair restoration experience on their website?  Since then I doubt if I made a good choice to visit this clinic and I was considering if I could get my money back if I quit the operation. [continued below]....
									
										..... After Dr. Gerald Searle arrived, he checked my head and explained the operation to me.  I asked him if he can do a good operation and leave smaller scars than my previous operation. I told him that I want to quit if he can’t guarantee his work.  He said: Sure, absolutely! I guarantee it.   My doubt was clearly evidenced by what happened next. After Dr. Gerald Searle cut the strip out from my back side, he had a huge trouble to close the gap.   I clearly heard the sound of the thread stripping the skin when he tried to tight the thread.  He told the nurse that he needed to add more stitches. I am not sure how many more stitches he added for my operation. I noticed that he tried to cut more tissues out and tight the threads again and again in order to close the gap.   Finally he took more than two hours to finish the operation. They cleaned the blood many times.  I knew my donor area was completely messed up. During my previous operation at another clinic, the doctor only took a few minutes to cut the strip out and closed the gap.   I don’t need to mention that I had to suffer a lot and clean the blood many times on the back side of my head at the night after the operation.  In the next morning a nurse insisted on washing my head, both the donor areas and recipient areas (I really don’t understand why they did this). But the nurse tried to avoid touching the big area which was messed up. After head washing, I noticed there were several grafts of hairs on my face. It was disgusting and I grabbed them away. After I went to home and checked my head again, I noticed more fallen grafts of hairs. My donor areas kept bleeding and discharging something in the following two months after the operation. The amount was reduced gradually. But I could see some blood/discharge clearly from the towel on my pillow.  The healing process was so slow because the gap along the donor area was not closed well.  In fact, I believe that the gap in some areas was not closed at all because I saw some very thick scabs dropping off from those areas later.  Two weeks after the operation, I went to a local hospital to have the sutures removed. Two female nurses tried to get the sutures out. But they all quit. Finally, they found the most experienced male nurse to finish the job. It took two hours for him to get all the sutures out. After the work, he shook his head and told me that some threads were buried deep in the blood scabs and it was hard for him to find all the threads and get all of them out. The surgeon did a very poor operation. After the operation, the donor areas formed a deep trench on my head. I can clearly feel it when I stroke my hairs from the top to the bottom.  The donor areas also began to lose hairs.  The situation became worse and worse.  The area which was seriously messed up by the surgeon lost almost all hairs and became bare.  The diameter is more than 2.5 inches. Everyone around me noticed it and kept asking me what was going on. It is so embarrassing for me to explain what happened to everyone again and again. I have to leave long hairs in order to cover this area as much as possible. I frequently wear a deep hat to cover this area. After the operation, I often suffer from serious headaches and I believe my headaches are related to the operation.  One year after the operation, I began to think about correction on the donor area. When I talked with two surgeons who have 20+ years of hair restoration experience, they all told me that they never saw such big scars in their whole lives and the clinic who did such an operation should definitely take all the responsibility. But so far I didn’t get even one cent compensation from their malpractice.  What did their “gold standard” service give to me?  I didn’t have any obvious improvements on the recipient area even one year after the operation. But they ruined my donor area and I suffer from everlasting embarrassments and headaches. This is what their “gold standard” service gave me!  Did they guarantee anything?   I am a 100% real person. If you need more information about my story or want to give me some suggestions, please send me a message. If any attorney wants to help me sue this company, please contact me. Email: (((REDACTED for security)))@gmail.com Thank you for reading my story.            ",  Plastic Surgeons 
 Weight Loss Institute  ,"  Weight Loss Institute   1855 e southern 
Tempe, Arizona USA ",Www.wliaz.com, 480-829-6100,""," I used to work here and found out it was illegal for them to charge some patients an extra $2,000 and not charge other patients BASED Soley on their Insurance!!!!!  They keep logs and spreadsheets the sales girls would have to go in with and talk to patients. If a patient didn't sign up, the doctors would be livid! Especially the one doctor/owner no one liked!!! Dr Orris. Pompous midget!  ",  Plastic Surgeons 
 Elite Body Sculpture ,"  Elite Body Sculpture  5 medical drive suite 150 
roseville, California USA ",www.elitebodysculpture.com, (916) 797-1133,""," DO NOT GO!!!! I opened a yelp just to help others... After having a baby and being on bedrest for 8 months at 32 I decided I needed a jump start in weight loss. I was at my all time high in weight and saved up enough money to get some lipo done. I spent a little over 15k only to be disappointed in the overall whole experience. First they advertise that its pain free... and for me it wasn't I was in pain the entire time. They tell me to come back and then they would give me something different so I wont be uncomfortable again like I was the first time. I go back and was in just as much pain if not even worse. When I spoke to the office they said they didnt gaurantee it would be pain free which all over there advertising thats all they say. Second they forgot to put the correct info on my prescription and being that it was after 8 pm when I left there office I wasn't able to get any pain meds after having lipo!!!! The pain was horrible. When my husband called the Dr. there was nothing he could do except ask if we had any marijuana to help with the pain???? OMG... AND THIS IS SUPPOSE TO BE AN HONORABLE BUSINESS ON THE BBB! I'll be wiring them next. they told me healing would be about a week or two... I couldnt do anything for a month!  I nicely complained to them from the beginning and they told me to wait ...which I did. After I decided this was ridiculous I got my butt in the gym changed my eating and lost the weight on my own.  I called them back because after my 2nd to last appointment the dr said he would help tweek some things but I didnt want to go through the pain again which they all know in that roseville office that I did have pain the entire time... All I wanted was some type of reimbursement. Not all of the 15k but something to show that if the experience was this horrible they are a business with integrity and have a1 customer service! HOW THEY CAN TAKE SOMEONES HARD EARNED MONEY KNOWING THAT THERE SERVICE WAS NOT WHAT THEY ADVERTISE AND THAT THERE PATIENT WAS IN THAT MUCH PAIN IS BEYOND ME... I HOPE THIS WILL LESSER THERE BUSINESS AND THEY SHUT DOWN!!! THEY GET 1 STAR FOR A COUPLE OF THE EMPLOYEES THERE THAT WERE AT LEAST COMPASSIONATE BUT OF COURSE THERES NOTHING THEY CAN DO... SUCH A SHAME ALSO EVERY TIME IF WENT IN FROM THE FIRST APPOINTMENT THE PICTURES OF THERE PATIENTS BEFORE AND AFTER PICTURES WERE OF THE SAME PEOPLE EVERY SINGLE TIME. EVEN ON THE WEBSITE ...THE GUY WITH THE ABS ...ETC... I PAID OVER 15K, I WOULDNT EXPECT ALL OF MY MONEY BACK BUT AT LEAST SOMETHING FOR THE PAIN FROM DURING THE PROCEDURE AND AFTER SINCE THEY FAILED TO WRITE THE CORRECT INFO ON THE PRESCRIPTION. BECAUSE I WAS CARRIED OUT OF THAT OFFICE A LITTLE AFTER 8 PM BY THE TIME MY HUSBAND GOT TO THE PHARMACY AND REALIZED THEY HAD MESSED UP, THE DR AND STAFF WERE AT THERE HOME AND COULD DO NOTHING ABOUT IT.  They said they wouldnt refund not even a dime and had no compassion about the pain or the experience. They also said they seen results...  I said yes I did do something about it... i have gym and gnc reciepts to prove it... also when I did workout out I lost weight in my face...clearly I did work out to loose weight after 4 months of no results...I still needed and wanted to do something. The lady said they did give me a discount in the beginning because of how much they took out should have been way more money... which that was NEVER told to me. I asked them if I would get a discount for paying all cash up front. This company is so janky has no customer service and super thirsty for anyones money please beware!!! ",  Plastic Surgeons 
 Sono Bello/Jennifer ,"  Sono Bello/Jennifer  10787 Nall 
Overland Park, Kansas USA ",SonnoBello.com, ,""," went back into the office on Wednesday Jul 23, 2014 with my contract in hand - which was taken from me willingly don't no why I gave that up to easily but I did. I asked for my money back BUYERS REMORSE nope that didn't work talked to an attorney and there was nothing he could do it says NO REFUND POST OP so I thought(finally) because it said Post Op I could get at least some of my money but not unless it was for a medical reason not just because I changed my mind. Jennifer said that they would not have people coming in signing up and come back the next day and change their mind that Plastic Surgeons are expensive - gee I didn't know that - she was very disrespectful - I was not rude nor aggressvie I lost 1,000.00 for absolutely nothing. No creams to treatments of any kind. I am a licesned Esthetician and the Practice Manager new that - the day I went back to change my mind the post went on Linkedin that they were looking for a parttime esthetician. If Dee would have mentioned it I sure would not work for a company with this reputation. Spoke to one of my customers about the procedure and she told me that her brother-in-law new somebody that new somebody that new somebody that DIED I don't know them but he want my customer to tell me please don't have that done. I don't know the people but completely trust my customer so it is hearsay. I would settle for part of my money back especially the two creams listed on my financial statement that was not explained to me one for scar reduction and the other for numbing (I believe that is what Dee Practice Manager told me) lost 1000.00 but could have lost my life. Had shoulder surgery last September and sure didn't have to any money down for the surgery or the surgery suite. Too many RED FLAGS should have paid attention to my GUT Feeling. ",  Plastic Surgeons 
 Jasin Facial  ,"  Jasin Facial   13801 bruce b downs blvd 
tampa, Florida USA ",www.jasinfacialandbody.com, 813-975-3223,""," Whatever you do, Do NOT go here for anything to do with injections. I was a patient for several years when Dr Jasin was working and couldn't be happier, However, Dr. Jasin is now gone (Retired) and if you go here, You have to get your procedure done with second rate chronies that have absolutely no idea how to do anything.    I went to get a non-surgical Rhinoplasty and have been left with a massive bump in my nose and it curves HARD left. Prior to seeing this miserable doctor, I barely had any problems, Just a slight droop that left me a bit self conscience. Now my issues are far worse that i ever could have imagined.   Not only did this place butcher my face, but they also claimed to have a solution once i called and complained. 3 hours later, I received a call stating their was no solution and that I was stuck like this and ""Hopefully it would fade within 2 months"".   Can you imagine someone destroying your nose and telling you ""Oops, Go ahead and wait 2 months""... This place should be shut down. Do NOT go here unless you're willing to risk whatever part of your face you let them touch. Fair warning.  (This is not a competitor and I'm happy to speak to ANYONE on the phone that is considering going here, I'll happily talk you out of ever stepping foot in this establishment.) ",  Plastic Surgeons 
 atlantis hair transplant  ,"  atlantis hair transplant    
Plantation, Florida USA ",www.atlantishairtransplant.com , ,"","   I was a young college student who was losing his hair.  I did not have a lot of money and so this place seemed to be the best match for me.  Kris Johnson who is a fast talking guy made an impression on me.  He sold me the world, he told no problem to this and that.  He told me he had so much experience, and showed pictures and he would have said anything.  Everything seemed fine to me but I still knew something did not seem right.  His office was sketchy, his receptionist was sketchy, his pictures of patients were sketchy. etc.  I was just so depressed with my hair situation I wanted it fixed, so I guess I did not pay attention.  When someone is a depressed as I was you don't see straight.     The day I got the surgery, I remember his office was locked and he was 30 mins late.  I remember standing outside thinking to myself.  Something does not feel right and I CAN still leave and go home and maybe I should, (in retrospect I wish I did)  but then he showed up.  Kris is not a doctor, however he performed 90% of the surgery.  There was a nonspeaking English Dr. in the room who just watched and there were 2 assistants there also no english.   I remember thinking why is Kris doing the surgery? and I could almost swear I saw Kris handed cash to the Doctor.  What was I going to do? I was in the middle of the surgery? I just had a major section of my donor hair removed and blood was just coming out.  What would you do?   When it was over I suffered more than anyone human should ever, I was stitched up so terribly that blood was just ozzing out for days.  When things began to heal up I could see although I paid for 4,000 graphs, only about 1,000 were done, and the instrument he used made massive pock marks in my head, and the slice that he made in the back of my head look like Frankenstein's face.   I was mortified and I fell into a deeper depression, I lost my wife, my job, and many other things because I had to wear a hat to hid the embarrassment.  If evil exists in the world it would be Kris Johnson, G-d will punish him severely.  When I called they has changed the telephone number.  As of today 7/25/2014 - I notice Atlantis is still in business, IF they change their name and I am sure they will...watch out.   Kris Johnson has destroyed my life ",  Plastic Surgeons 
