 Jerry Moore  ,"  Jerry Moore   4020 N 44th Pl 
phoenix , Arizona USA ","",  (602) 402-0175,""," I rent rooms in my home, and have done so for years. I made a serious mistake in trusting this man, who seemed to be honest, even though he would talk my ear off, and went on and on about insanely ridiculous stories that I had absolutely no interest in… I had an empty room, and he had some cash, and I let him move in without really trusting my gut feeling, that he might be a problem. I have a washer and dryer that roommates use, and a camera that keeps an eye on the patio where these machines are located. I saw him put a single blue bath towels into the washer, and after the machine cycle was completely done,he added a little more soap, and turn the washer on again, a second washing for a single towel! then, later after he came home he put the towel, all by itself, into the dryer, and proceeded to waste even more gas and electricity to dry it. I took out the towel, knocked on his door, and told him that these machines were designed to handle eight or 10 times as much laundry at once, and would he make sure that he doesn't ever wash a single towel, or any such small load, if he needs more things to wash with his single towel, either wait until he has a full load, or ask me for other laundry items that could fill out the load… I was clearly upset, and he said he would never do it again. two days later he did the same thing, with a couple more small towels, still, about 1/8 of a ""normal load"". because I had the camera footage, I was able to tell him in no uncertain terms that he had better never do this again, as I have it on camera, and he will be kicked out if this ever happens again! I yelled at him.  you're right, – – he did it again just two days later! another single towel., I think he was basically trying to rub it in my face, thinking that he had the right to do anything he wants, even though it is my house. I put him on a one day at a time, with instructions to get out of my house, and he had something else in mind, even after he said he would move out, he persisted and staying, which required me to get him and it fiction notice, and delivered, in writing,so I wasted a lot of time, resources, and he thinks he can pretty much do anything he wants, without recourse. if you are lucky enough to have searched his name and found this report, before renting him a room, or a house, or an apartment, Then I wish you well, if you should decide to go ahead anyway, and rent to this nonstop talk your ear off fool, then you will get what you deserve--as no good deed goes unpunished! I tried to be kind and give this very strange man a break – – as he claimed he had lost his home to some evil bankers and such… I guess that's where my kind heart opened up an allowed this stranger into my house. I will be keeping his deposit, and he has not given me another cent for 13 days and counting, his rent has been unpaid, and I even the police showed up and told me that I would still have to do formal eviction on him, which makes for a very unsavory household while you have a hostile person digging in and refusing to leave, even though they are wasteful, and non-paying     Ain't life grand? PS – – a female roommate who also lives here says ""he creeps me out""   ","  Attorneys General, Questionable Activities "
 Michael Rajek ,"  Michael Rajek  306 A Barstow St, Suite 105 
Eau Claire, Wisconsin USA ",www.michaelrajek.com, ,""," Don't go to this buisness. Don't make the same mistake I did. For my case a private attorney was absolutely necessary, after my case was closed I felt I made a huge mistake. I could have gotten the same outcome with out his services and he charged me 3000 dollars. This is not a respectable business. ",  Attorneys General 
 April Whittiker  ,"  April Whittiker   S. Lincoln St 
Roseville , California USA ","", ,""," I am a friend of a Male individual that is a sweet and hardworking guy, that met April Whitteker about three years ago.   Over the years, I have had numerous calls from friends that my friend was in seriously bad waters. April has a Looooong history of destroying people and manipulating their lives in a way that they don't see the cement wall until they hit it head on! My friend lost his family because she alienated everyone is this wonderful family.  She has three boys that she has given up because she has April to satisfy.  Her one son is a stoner and she buys his drugs? She worked at Mercy Hospital in Sacramento, where I met her as a nurse and our boss that had been a manager for years was fired because she had an affair with him and then turned him in? He had given her sevral thousand dollars and rented her a really nice car and his life ha My friend was arrested for domestic violence and two days later she told me that she had told him she was sorry and had told the police she had made the story up!   She uses her sex appeal to lure men, use them and somehow she has created a trail of broken souls, divorces, arrested and other serious alterations in peoples lives. I heard from my friend that she drove a car without the legal registration, plates or insurance and hit a the car of neighbors son (parked) in June of 2014.  My friend at the hospital recently heard that she said ""F"" him, he can't put me in jail, he can only sue me. Her landlord is from Auburn area Bob Sowl, and the story has it that she is or had an affair with him to get leverage on my friend that rented the house where she lived in Roseville.  So, if you meet her, she is clinically diagnosed as mentally impaired and from what I have heard in the past couple of years at work and through her friends, she is a scary person. April Whitteker AKA Black Widow........ So all of my male and female frinds with husbands, if you hear her name in your circle be careful ....  Submitted to Victims Defense by: Eye Wittness in Sacramento, Ca.    ",  Attorneys General 
 judge carol hanna ,"  judge carol hanna  825 philadelphia st 
indiana, Pennsylvania USA ","", ,"", my mother in law attempted to kidnap my child then made terroristic threats against us all and when it was time for her to go in front of judge hanna she wouldnt accept evidence and was paid off not once but 3 times and thrn after violating her pfa the judge was switched in sentencing hearing so it would b in her favor..the judge was changed within s matter of 5 mins b4 fair hearing so that judge hanna could throw case out..meanwhile there r identity theft forgery and ins fraud charges against this individul and the atty 4 her accepted this info without our pernission  ,  Attorneys General 
 Coast to Coast Land ,"  Coast to Coast Land  3350 Ulmerton Rd   Ste 10 
Clearwater, Florida USA ",coasttocoastland.com, 1-800-933-9239,"", Coast to Coast Land has scammed me out of money that as a retiree I could not really afford. I called the Florida number and was told by a recording that the number was not available in my area. Sent a certified letter to Ulmerton address and it came back as unclaimed.   After reading your website I realize just how stupid I was. I only hope that something can be done so that I might get my money back.  ,  Attorneys General 
 ourtime.com ,"  ourtime.com   
Internet USA ",www.ourtime.com, 18667278920,""," Our ResponseDear Member,  We have received your email regarding resigning/cancelling your OurTime.comaccount. This rapid reply email contains answers to our members’ most frequently asked questions on this topic. If the following information does not answer your particular question, please reply directly to this email for individualized assistance.  Not a Member? If you have never joined OurTime.com , please reply to this email so we can assist you further. If you are considering resigning for any reason other than you found the love of your life, please consider contacting us 1-866-727-8920 Monday through Friday from 8:00 am to5 pm CST for valuable advice on improving your success on our site. In addition, we have several special offers for which you may qualify. We would love to offer our personal assistance in ensuring you find your match!  If you are absolutely positive you want to continue with your resignation, follow these simple steps:  ON TELEVISON COMMERCIAL IT SAID 30 DAY TRAIL, SO I ASKED REFUND BY FORM BOX AND GOTTHIS BELOW REPLY,  SO I CALLED 1. Click on My Account located in the upper right hand corner of your screen (or hover over your username if it is there and click 'My Account'). 2. Click on ""Click Here to View Your Account Status"" under Account Status History.  3. Click on ""Unsubscribe Me"".  4. Click on ""Click Here!"" next to ""Remove Automatic Renewal"".  5. Upon downgrading your account, your credit card will no longer be charged for future membership.  Please Note:  Your account will remain active at full membership until your current paid period expires. Since you are given full access to your services through this expiration date we cannot prorate or refund any charges.  These actions will turn off the auto renew feature which bills your account at the end of a subscription; however, you will still be able to utilize the subscriber features until the expiration date of your current subscription.  If you wish to completely cancel your account, including forfeiting any paid time you may have left, follow these simple steps: 1. Click on My Account located in the upper right hand corner of your screen.  2. Click on ""Click Here to View Your Account Status"" under Account Status History.  3. Click on ""Unsubscribe Me"".  4. Click on ""Click Here"" next to ""Delete My Profile"".  5. Please take a moment to respond to the short questions. You will be asked to confirm your cancellation. Unused time will be forfeited. If this quick response email did not answer your question, please reply directly to this message with additional information and we will be happy to provide you with a personalized response.  Warm Regards,  OurTime.com Customer Care  I ASKED FOR REFUNDED WITHIN ADVERYISED TELEVISION COMMERCIAL TIMEFRAME AND GOT THIS LETTER.  SO I CALLED AND HE SAID OKAY BUT THEN said refund only gor zero usage,  that means  you can not even send one email. Website hosted on peoples media, based in Dallas , Tx,  ourtime supervisor Brandon C. Refused even though The CHAT FEATURE WILL NOT WORK FOR MOBILES,  snd he afmitted that it never works mobile phones. MISLEADING TELEVISION COMMERCIALS,  OR FALSE INFO REPRESENTED IS A FEDERAL CRIME ACROSS STATE LINES.  I USED WEBSITE 2 WEEKS SO I SAID  PRORATE and I pay for one month and refund difference And he said no.  THIS IS A NATIONAL RIPOFF OF SENIORS! ",  Attorneys General 
 Sallie D. Skipper ,"  Sallie D. Skipper  5653 Main Street  
New Port Richey, Florida USA ",http://www.skipperandskipper.com/, ,""," Why would attorney Sallie D.Skipper need to hide her negative reviews on AVVO? False positive reviews? When you’re shopping for a holiday gift, looking for a good attorney, a nice place to have dinner or a good hotel, do you pay attention to those online reviews? A lot of people do. After all, most of us put more stock in what regular people have to say about a product or service than we do in company advertising. The reviews can be helpful, but you have to take them with a grain of salt because there’s strong evidence a significant number of online reviews are fake. How does this happen? Company posting phony positive reviews to boost its own business, or a company posting phony positive reviews to hide Regular customers who post negative reviews. It happens all the time. Sallie D.Skipper had 3 reviews in 6 years,then a real review from a real person was posted with negative feedback and in one day it has more reviews than it had in the last 6 years. Business's who post false positive reviews commit fraud. I've forwarded a copy to the Attorney general. Do a google search of positive false reviews. The hiring of this attorney will result in years of mishandling over charging for services,excessive fees,no commutation,missing money from trust account,after signing a contact with this attorney it's been a nightmare.   Sallie D.SkipperNew Port RicheyDowntown New Port Richey5653 Main StreetNew Port Richey, FL 34652-2635Phone: (727) 847-0913Fax: (727) 847-0914 ",  Attorneys General 
 Direct TV ,"  Direct TV   
Nationwide USA ",http://directtv.com, ,""," We signed up for a 2 year contract, and we were told the price was never going to go up.  YET, the price doubled after 12 months.  I specificaly asked the rep when we signed up the following question "" Is the monthly price going to stay the same?"" and I was reassured the answer was YES.  When I called to complain about the FAULS advertisment, I was told NEXT TIME READ the ENTIRE Contract. I have heard from many of my friends and family members complaining about DIRECT TV mal practice, and I thouhgt it was exagerated.  TODAY,,, I am one of those victims, and I will not stay scilent about it. Please someone has to hear all those compalaints, and DO SOMETHING ABOUT.  HELP get some resolution, this is NOT Rright. DO NOT FALL IN TO THE SAME TRAP ",  Attorneys General 
 Mike J. Anderson ,"  Mike J. Anderson   
San Antonio, Texas USA ","", 210-272-9744,""," ATTENTION : SANDRA  CORSI   This Legal Proceedings issued on you  Docket no: 4100 with one of Cash Advance Inc. Company in order to notify you that after making calls to you on your phone number we were not able to get hold of you. So the accounts department of Cash Advance has decided to mark this case as a flat refusal and press legal charges against you.   ADDRESS :  12424 RESEARCH BLVD   CASE NO : 4100   AMOUNT OUTSTANDING : $740.00             We have sent you this warning notification about legal proceedings on March 8, 2014 but you failed to respond on time now it’s high time if you failed to respond in next 24 HOURS we will register this case in court. Consider this as a final warning. And we will be Emailing/ Fax this issue to your current employer to make sure they take strict actions against you. [continued below]....
									
										..... Your salary and all your wages confiscated.   Do revert back if you want to get rid of these legal consequences and make a payment arrangement today or else we would be proceeding legally against you.   And we apologies that this notification will also sent to your current employer. The opportunity to take care of this voluntary is quickly coming to an end. We would hate for you to lose the option of resolving this before it goes to the next step which is a Lawsuit against you, but to do so you must take immediate action.   We will be forced to proceed legally against you and once it is processed the creditor has entire rights to inform your employer and your references regarding this issue and the law suit will be the next step which will be amounting to $6300.00 and will be totally levied upon you and that would be excluding your attorney charges. If you take care of this out of court then we will release the clearance certificate from the court and we will make sure that no one will contact you in future.   Please let us know what your intention is by today itself so we can hold the case or else we will submit the paper work to your local county sheriff department and you will be served by court summons at your door step.   Note : This notice is provided to you on behalf of Cash Advance Inc. and its parent company , and their respective family of companies including Cash Advance, its parent company, Cash America International, Inc., and all of their respective subsidiaries and affiliates, (hereafter collectively referred to as the “Cash Advance Related Companies,” “we,” “our,” or “us”). The Cash Advance Related Companies include, but are not limited to: Cash Advance, Cash America International, Inc., and all of their respective subsidiaries and affiliates, including those that operate under the trade names Cash Advance, 100 Day Loan, Net loan USA, Fax free Cash, Payday one, Sonic Cash, Money tree, Egg loans, Check cash Loan, Quick Payday, Personal Cash Advance, Rapid Cash, Sonic Payday, Speedy Cash, My Cash Now, National Payday, Paycheck Today, Payday OK, Cash Central Loans, Cash Net 500,Cash Net USA, Allied Cash, Super Pawn, Check into Cash, Check Smart, Cash America Net, Cash America, Cash America Pawn, Cash land, Super Pawn, Cash America Payday Advance, or any company-owned Mr. Payroll locations. “You” or “Your” means you as a participant in or as a user of the products and/or services offered by a Cash Advance Related Company.   WE MAY REPORT INFORMATION ABOUT YOUR ACCOUNT TO CREDIT BUREAUS. LATE PAYMENTS, MISSED PAYMENTS, OR OTHER DEFAULTS ON YOUR ACCOUNT MAY BE REFLECTED IN YOUR CREDIT REPORT.   TERMS & CONDITIONS YOU AGREED   By electronically signing this Loan Agreement by clicking the ""I AGREE"" button below, you are confirming that you have agreed to the terms and conditions of the Consent and that you have downloaded or printed a copy of this Consent for your records.   Sincerely, Mike J. Anderson Morgan & Associates, Sant Antonio, Texas (US). CALL :(210) 272-9744     Funny the woman who previously posted here has the EXACT letter and ammount and Docket number! ",  Attorneys General 
 Hawthorne Housing Authority ,"  Hawthorne Housing Authority  4455 126 Street 
Hawthorne , California USA ","", 3103491600,"",  Ok so I can't leave a review for hawthorne housing authority because It won't allow me to so to start with my complaint I have nothing good to say about them names are Guido Fernandez and the Director Hamid up to no good the hawthorne housing authority displayed a high degree of unprofessionalism in dealing with client concerns and client resolutions long story short don't move to hawthorne period. They need to restaff the agency and replace them with people who are more customer service oriented they terminate my assistance I have a disability and two kids I just had a baby and it's like saying fuck me and my kids my rights were violated I don't have a job At this time and have no money to get a attorney so I have to fight them back on my own I took a total lost I would give them zero stars but I have to pick one karma will get the ones that do the other people wrong and that's what they did god will fight for me I love Jesus I pray for them can anyone contact me on how to get a lawsuit going this is the route I'm headed please help I have had to go to a therapist because of my situation I'm easy to cry I got two kids someone lied on me and they terminate me from hawthorne housing authority so now my life has been difficult I have a lot of depression I have kids and a disability what am I going to do now they don't care its not their money someone if you could help with any advice please contact me I'm trying to contact the city manager and he has not returned my call yet I wish I never left where I came from I'm warning people do not port out to hawthorne this could happen to you I wish I could protest on them I contact Mike Goodson the City Manager he did nothing to help they don't care about you in hawthorne they will do you like a dog and they are getting money and kicking poor people off of section 8 for nothing I had a attorney and she flaked on me now idk what to do can some one help this is a cold world people do you any kind of way if you let them  ,  Attorneys General 
